expID,ligand,base,solvent,cone angle,TEP,calc P shift,pKa,Pauling ionic radii,Hansen-dD,Hansen-dP,Hansen-dH,objectives
64,4,5,1,211.3485433,2210.78491,-35.7969,13.997,133,18.4,16.4,10.2,-3.68181731
65,5,5,1,174.6629756,2218.794147,-5.7884,13.997,133,18.4,16.4,10.2,-2.470431414
66,6,5,1,166.26,2224.63,-9.8472,13.997,133,18.4,16.4,10.2,-2.509459386
67,7,5,1,165.4550225,2228.284751,-7.6658,13.997,133,18.4,16.4,10.2,-2.424888603
68,8,5,1,184.5942422,2234.942905,-10.0173,13.997,133,18.4,16.4,10.2,-2.558454306
69,9,5,1,172.55,2232.06,-76.7384,13.997,133,18.4,16.4,10.2,-2.07382286
70,10,5,1,165.5,2225.59,-10.3996,13.997,133,18.4,16.4,10.2,-2.541779335
71,11,5,1,174.3600174,2210.257593,8.0093,13.997,133,18.4,16.4,10.2,-2.535335757
72,12,5,1,185.3,2206.2,66.1445,13.997,133,18.4,16.4,10.2,-4.424421127
73,13,5,1,171.3953578,2213.980043,-29.2681,13.997,133,18.4,16.4,10.2,-3.449717093
74,14,5,1,120.02,2219.32,-63.3,13.997,133,18.4,16.4,10.2,-2.119268286
75,15,5,1,165.353392,2215.967354,-19.1672,13.997,133,18.4,16.4,10.2,-3.793326954
76,1,6,1,165.87,2223.37,-5.7906,12.375,133,18.4,16.4,10.2,-2.166666828
77,2,6,1,166.8903697,2218.319819,-10.6026,12.375,133,18.4,16.4,10.2,-2.946451429
78,3,6,1,172.5642436,2217.825997,-8.6556,12.375,133,18.4,16.4,10.2,-2.833155083
79,4,6,1,211.3485433,2210.78491,-35.7969,12.375,133,18.4,16.4,10.2,-3.820355033
80,5,6,1,174.6629756,2218.794147,-5.7884,12.375,133,18.4,16.4,10.2,-2.514936134
81,6,6,1,166.26,2224.63,-9.8472,12.375,133,18.4,16.4,10.2,-2.463131488
82,7,6,1,165.4550225,2228.284751,-7.6658,12.375,133,18.4,16.4,10.2,-2.345607413
83,8,6,1,184.5942422,2234.942905,-10.0173,12.375,133,18.4,16.4,10.2,-2.569791582
84,9,6,1,172.55,2232.06,-76.7384,12.375,133,18.4,16.4,10.2,-2.069326512
85,10,6,1,165.5,2225.59,-10.3996,12.375,133,18.4,16.4,10.2,-2.491578546
86,11,6,1,174.3600174,2210.257593,8.0093,12.375,133,18.4,16.4,10.2,-2.536953555
87,12,6,1,185.3,2206.2,66.1445,12.375,133,18.4,16.4,10.2,-4.411512308
88,13,6,1,171.3953578,2213.980043,-29.2681,12.375,133,18.4,16.4,10.2,-3.490114269
89,14,6,1,120.02,2219.32,-63.3,12.375,133,18.4,16.4,10.2,-2.185928562
90,15,6,1,165.353392,2215.967354,-19.1672,12.375,133,18.4,16.4,10.2,-3.844734395
91,1,7,1,165.87,2223.37,-5.7906,4.756,133,18.4,16.4,10.2,-1.601388487
92,2,7,1,166.8903697,2218.319819,-10.6026,4.756,133,18.4,16.4,10.2,-2.685571282
93,3,7,1,172.5642436,2217.825997,-8.6556,4.756,133,18.4,16.4,10.2,-2.863069343
94,4,7,1,211.3485433,2210.78491,-35.7969,4.756,133,18.4,16.4,10.2,-4.22514916
95,5,7,1,174.6629756,2218.794147,-5.7884,4.756,133,18.4,16.4,10.2,-2.573497819
96,6,7,1,166.26,2224.63,-9.8472,4.756,133,18.4,16.4,10.2,-2.044481862
97,7,7,1,165.4550225,2228.284751,-7.6658,4.756,133,18.4,16.4,10.2,-1.819360106
98,8,7,1,184.5942422,2234.942905,-10.0173,4.756,133,18.4,16.4,10.2,-2.63618878
99,9,7,1,172.55,2232.06,-76.7384,4.756,133,18.4,16.4,10.2,-2.111041165
100,10,7,1,165.5,2225.59,-10.3996,4.756,133,18.4,16.4,10.2,-2.061364175
101,11,7,1,174.3600174,2210.257593,8.0093,4.756,133,18.4,16.4,10.2,-2.537321183
102,12,7,1,185.3,2206.2,66.1445,4.756,133,18.4,16.4,10.2,-3.951881251
103,13,7,1,171.3953578,2213.980043,-29.2681,4.756,133,18.4,16.4,10.2,-3.471836996
104,14,7,1,120.02,2219.32,-63.3,4.756,133,18.4,16.4,10.2,-2.665701271
105,15,7,1,165.353392,2215.967354,-19.1672,4.756,133,18.4,16.4,10.2,-3.692037081
106,1,8,1,165.87,2223.37,-5.7906,10.329,169,18.4,16.4,10.2,-1.572944562
107,2,8,1,166.8903697,2218.319819,-10.6026,10.329,169,18.4,16.4,10.2,-1.613667382
108,3,8,1,172.5642436,2217.825997,-8.6556,10.329,169,18.4,16.4,10.2,-1.557633893
109,4,8,1,211.3485433,2210.78491,-35.7969,10.329,169,18.4,16.4,10.2,-2.739461935
110,5,8,1,174.6629756,2218.794147,-5.7884,10.329,169,18.4,16.4,10.2,-1.607698427
111,6,8,1,166.26,2224.63,-9.8472,10.329,169,18.4,16.4,10.2,-1.901018809
112,7,8,1,165.4550225,2228.284751,-7.6658,10.329,169,18.4,16.4,10.2,-2.45032114
113,8,8,1,184.5942422,2234.942905,-10.0173,10.329,169,18.4,16.4,10.2,-2.960033756
114,9,8,1,172.55,2232.06,-76.7384,10.329,169,18.4,16.4,10.2,-2.634026522
115,10,8,1,165.5,2225.59,-10.3996,10.329,169,18.4,16.4,10.2,-2.189377424
116,11,8,1,174.3600174,2210.257593,8.0093,10.329,169,18.4,16.4,10.2,-4.040120602
117,12,8,1,185.3,2206.2,66.1445,10.329,169,18.4,16.4,10.2,-3.070704504
118,13,8,1,171.3953578,2213.980043,-29.2681,10.329,169,18.4,16.4,10.2,-2.807407945
119,14,8,1,120.02,2219.32,-63.3,10.329,169,18.4,16.4,10.2,-2.013458888
120,15,8,1,165.353392,2215.967354,-19.1672,10.329,169,18.4,16.4,10.2,-2.385335777
121,1,9,1,165.87,2223.37,-5.7906,3.17,169,18.4,16.4,10.2,-1.579009794
122,2,9,1,166.8903697,2218.319819,-10.6026,3.17,169,18.4,16.4,10.2,-1.84968798
123,3,9,1,172.5642436,2217.825997,-8.6556,3.17,169,18.4,16.4,10.2,-2.032532425
124,4,9,1,211.3485433,2210.78491,-35.7969,3.17,169,18.4,16.4,10.2,-2.7407068
125,5,9,1,174.6629756,2218.794147,-5.7884,3.17,169,18.4,16.4,10.2,-2.052958963
126,6,9,1,166.26,2224.63,-9.8472,3.17,169,18.4,16.4,10.2,-1.816229702
127,7,9,1,165.4550225,2228.284751,-7.6658,3.17,169,18.4,16.4,10.2,-2.228666146
128,8,9,1,184.5942422,2234.942905,-10.0173,3.17,169,18.4,16.4,10.2,-2.903826857
129,9,9,1,172.55,2232.06,-76.7384,3.17,169,18.4,16.4,10.2,-3.154225439
130,10,9,1,165.5,2225.59,-10.3996,3.17,169,18.4,16.4,10.2,-2.019760134
131,11,9,1,174.3600174,2210.257593,8.0093,3.17,169,18.4,16.4,10.2,-4.104138686
132,12,9,1,185.3,2206.2,66.1445,3.17,169,18.4,16.4,10.2,-3.143945045
133,13,9,1,171.3953578,2213.980043,-29.2681,3.17,169,18.4,16.4,10.2,-2.878179324
134,14,9,1,120.02,2219.32,-63.3,3.17,169,18.4,16.4,10.2,-2.835613517
135,15,9,1,165.353392,2215.967354,-19.1672,3.17,169,18.4,16.4,10.2,-2.543438111
136,1,10,1,165.87,2223.37,-5.7906,13.997,322,18.4,16.4,10.2,-3.24410493
137,2,10,1,166.8903697,2218.319819,-10.6026,13.997,322,18.4,16.4,10.2,-2.42809374
138,3,10,1,172.5642436,2217.825997,-8.6556,13.997,322,18.4,16.4,10.2,-1.689437584
139,4,10,1,211.3485433,2210.78491,-35.7969,13.997,322,18.4,16.4,10.2,-3.898660664
140,5,10,1,174.6629756,2218.794147,-5.7884,13.997,322,18.4,16.4,10.2,-1.604971994
141,6,10,1,166.26,2224.63,-9.8472,13.997,322,18.4,16.4,10.2,-2.237985897
142,7,10,1,165.4550225,2228.284751,-7.6658,13.997,322,18.4,16.4,10.2,-3.747509162
143,8,10,1,184.5942422,2234.942905,-10.0173,13.997,322,18.4,16.4,10.2,-4.561327108
144,9,10,1,172.55,2232.06,-76.7384,13.997,322,18.4,16.4,10.2,-2.685182584
145,10,10,1,165.5,2225.59,-10.3996,13.997,322,18.4,16.4,10.2,-2.338706248
146,11,10,1,174.3600174,2210.257593,8.0093,13.997,322,18.4,16.4,10.2,-3.686633442
147,12,10,1,185.3,2206.2,66.1445,13.997,322,18.4,16.4,10.2,-2.492790508
148,13,10,1,171.3953578,2213.980043,-29.2681,13.997,322,18.4,16.4,10.2,-2.320456545
149,14,10,1,120.02,2219.32,-63.3,13.997,322,18.4,16.4,10.2,-3.958370157
150,15,10,1,165.353392,2215.967354,-19.1672,13.997,322,18.4,16.4,10.2,-2.570903617
151,1,1,2,165.87,2223.37,-5.7906,10.329,95,17.4,13.7,11.3,-1.775534557
152,2,1,2,166.8903697,2218.319819,-10.6026,10.329,95,17.4,13.7,11.3,-1.615084971
153,3,1,2,172.5642436,2217.825997,-8.6556,10.329,95,17.4,13.7,11.3,-1.577060144
154,4,1,2,211.3485433,2210.78491,-35.7969,10.329,95,17.4,13.7,11.3,-4.021532084
155,5,1,2,174.6629756,2218.794147,-5.7884,10.329,95,17.4,13.7,11.3,-1.660252794
156,6,1,2,166.26,2224.63,-9.8472,10.329,95,17.4,13.7,11.3,-1.977146038
157,7,1,2,165.4550225,2228.284751,-7.6658,10.329,95,17.4,13.7,11.3,-2.564912066
158,8,1,2,184.5942422,2234.942905,-10.0173,10.329,95,17.4,13.7,11.3,-2.873536887
159,9,1,2,172.55,2232.06,-76.7384,10.329,95,17.4,13.7,11.3,-2.965971262
160,10,1,2,165.5,2225.59,-10.3996,10.329,95,17.4,13.7,11.3,-2.176659836
161,11,1,2,174.3600174,2210.257593,8.0093,10.329,95,17.4,13.7,11.3,-2.40982358
162,12,1,2,185.3,2206.2,66.1445,10.329,95,17.4,13.7,11.3,-4.510040397
163,13,1,2,171.3953578,2213.980043,-29.2681,10.329,95,17.4,13.7,11.3,-1.796450776
164,14,1,2,120.02,2219.32,-63.3,10.329,95,17.4,13.7,11.3,-2.916522658
165,15,1,2,165.353392,2215.967354,-19.1672,10.329,95,17.4,13.7,11.3,-3.155758757
166,1,2,2,165.87,2223.37,-5.7906,6.351,95,17.4,13.7,11.3,-1.873373479
167,2,2,2,166.8903697,2218.319819,-10.6026,6.351,95,17.4,13.7,11.3,-1.884704043
168,3,2,2,172.5642436,2217.825997,-8.6556,6.351,95,17.4,13.7,11.3,-1.852569394
169,4,2,2,211.3485433,2210.78491,-35.7969,6.351,95,17.4,13.7,11.3,-4.02849447
170,5,2,2,174.6629756,2218.794147,-5.7884,6.351,95,17.4,13.7,11.3,-1.917643495
171,6,2,2,166.26,2224.63,-9.8472,6.351,95,17.4,13.7,11.3,-2.011195368
172,7,2,2,165.4550225,2228.284751,-7.6658,6.351,95,17.4,13.7,11.3,-2.531547387
173,8,2,2,184.5942422,2234.942905,-10.0173,6.351,95,17.4,13.7,11.3,-2.811147598
174,9,2,2,172.55,2232.06,-76.7384,6.351,95,17.4,13.7,11.3,-3.381361841
175,10,2,2,165.5,2225.59,-10.3996,6.351,95,17.4,13.7,11.3,-2.166343107
176,11,2,2,174.3600174,2210.257593,8.0093,6.351,95,17.4,13.7,11.3,-2.552815848
177,12,2,2,185.3,2206.2,66.1445,6.351,95,17.4,13.7,11.3,-4.424870621
178,13,2,2,171.3953578,2213.980043,-29.2681,6.351,95,17.4,13.7,11.3,-1.762830329
179,14,2,2,120.02,2219.32,-63.3,6.351,95,17.4,13.7,11.3,-2.886431342
180,15,2,2,165.353392,2215.967354,-19.1672,6.351,95,17.4,13.7,11.3,-3.38735094
181,1,3,2,165.87,2223.37,-5.7906,13.997,95,17.4,13.7,11.3,-1.791082144
182,2,3,2,166.8903697,2218.319819,-10.6026,13.997,95,17.4,13.7,11.3,-1.543835604
183,3,3,2,172.5642436,2217.825997,-8.6556,13.997,95,17.4,13.7,11.3,-1.474898988
184,4,3,2,211.3485433,2210.78491,-35.7969,13.997,95,17.4,13.7,11.3,-3.90183168
185,5,3,2,174.6629756,2218.794147,-5.7884,13.997,95,17.4,13.7,11.3,-1.562430004
186,6,3,2,166.26,2224.63,-9.8472,13.997,95,17.4,13.7,11.3,-2.135336405
187,7,3,2,165.4550225,2228.284751,-7.6658,13.997,95,17.4,13.7,11.3,-2.740065439
188,8,3,2,184.5942422,2234.942905,-10.0173,13.997,95,17.4,13.7,11.3,-2.93434166
189,9,3,2,172.55,2232.06,-76.7384,13.997,95,17.4,13.7,11.3,-2.577208912
190,10,3,2,165.5,2225.59,-10.3996,13.997,95,17.4,13.7,11.3,-2.359768482
191,11,3,2,174.3600174,2210.257593,8.0093,13.997,95,17.4,13.7,11.3,-2.309919052
192,12,3,2,185.3,2206.2,66.1445,13.997,95,17.4,13.7,11.3,-4.415124407
193,13,3,2,171.3953578,2213.980043,-29.2681,13.997,95,17.4,13.7,11.3,-1.915411176
194,14,3,2,120.02,2219.32,-63.3,13.997,95,17.4,13.7,11.3,-2.926349563
195,15,3,2,165.353392,2215.967354,-19.1672,13.997,95,17.4,13.7,11.3,-2.926260157
196,1,4,2,165.87,2223.37,-5.7906,10.329,133,17.4,13.7,11.3,-1.838207335
197,2,4,2,166.8903697,2218.319819,-10.6026,10.329,133,17.4,13.7,11.3,-2.672013448
198,3,4,2,172.5642436,2217.825997,-8.6556,10.329,133,17.4,13.7,11.3,-2.677722652
199,4,4,2,211.3485433,2210.78491,-35.7969,10.329,133,17.4,13.7,11.3,-3.986531429
200,5,4,2,174.6629756,2218.794147,-5.7884,10.329,133,17.4,13.7,11.3,-2.382340237
201,6,4,2,166.26,2224.63,-9.8472,10.329,133,17.4,13.7,11.3,-2.178409387
202,7,4,2,165.4550225,2228.284751,-7.6658,10.329,133,17.4,13.7,11.3,-2.128068623
203,8,4,2,184.5942422,2234.942905,-10.0173,10.329,133,17.4,13.7,11.3,-2.579306946
204,9,4,2,172.55,2232.06,-76.7384,10.329,133,17.4,13.7,11.3,-1.915735113
205,10,4,2,165.5,2225.59,-10.3996,10.329,133,17.4,13.7,11.3,-2.222250075
206,11,4,2,174.3600174,2210.257593,8.0093,10.329,133,17.4,13.7,11.3,-2.494206912
207,12,4,2,185.3,2206.2,66.1445,10.329,133,17.4,13.7,11.3,-4.733992505
208,13,4,2,171.3953578,2213.980043,-29.2681,10.329,133,17.4,13.7,11.3,-3.429238763
209,14,4,2,120.02,2219.32,-63.3,10.329,133,17.4,13.7,11.3,-2.440809913
210,15,4,2,165.353392,2215.967354,-19.1672,10.329,133,17.4,13.7,11.3,-3.663406842
211,1,5,2,165.87,2223.37,-5.7906,13.997,133,17.4,13.7,11.3,-1.962460512
212,2,5,2,166.8903697,2218.319819,-10.6026,13.997,133,17.4,13.7,11.3,-2.578325155
213,3,5,2,172.5642436,2217.825997,-8.6556,13.997,133,17.4,13.7,11.3,-2.469635534
214,4,5,2,211.3485433,2210.78491,-35.7969,13.997,133,17.4,13.7,11.3,-3.672580028
215,5,5,2,174.6629756,2218.794147,-5.7884,13.997,133,17.4,13.7,11.3,-2.208490575
216,6,5,2,166.26,2224.63,-9.8472,13.997,133,17.4,13.7,11.3,-2.201042624
217,7,5,2,165.4550225,2228.284751,-7.6658,13.997,133,17.4,13.7,11.3,-2.236652307
218,8,5,2,184.5942422,2234.942905,-10.0173,13.997,133,17.4,13.7,11.3,-2.527454603
219,9,5,2,172.55,2232.06,-76.7384,13.997,133,17.4,13.7,11.3,-1.893968722
220,10,5,2,165.5,2225.59,-10.3996,13.997,133,17.4,13.7,11.3,-2.255382431
221,11,5,2,174.3600174,2210.257593,8.0093,13.997,133,17.4,13.7,11.3,-2.476420782
222,12,5,2,185.3,2206.2,66.1445,13.997,133,17.4,13.7,11.3,-4.835019794
223,13,5,2,171.3953578,2213.980043,-29.2681,13.997,133,17.4,13.7,11.3,-3.327628297
224,14,5,2,120.02,2219.32,-63.3,13.997,133,17.4,13.7,11.3,-2.255705389
225,15,5,2,165.353392,2215.967354,-19.1672,13.997,133,17.4,13.7,11.3,-3.510887222
226,1,6,2,165.87,2223.37,-5.7906,12.375,133,17.4,13.7,11.3,-1.919122671
227,2,6,2,166.8903697,2218.319819,-10.6026,12.375,133,17.4,13.7,11.3,-2.633663571
228,3,6,2,172.5642436,2217.825997,-8.6556,12.375,133,17.4,13.7,11.3,-2.570454205
229,4,6,2,211.3485433,2210.78491,-35.7969,12.375,133,17.4,13.7,11.3,-3.817921803
230,5,6,2,174.6629756,2218.794147,-5.7884,12.375,133,17.4,13.7,11.3,-2.2902191
231,6,6,2,166.26,2224.63,-9.8472,12.375,133,17.4,13.7,11.3,-2.202169906
232,7,6,2,165.4550225,2228.284751,-7.6658,12.375,133,17.4,13.7,11.3,-2.199975816
233,8,6,2,184.5942422,2234.942905,-10.0173,12.375,133,17.4,13.7,11.3,-2.548995359
234,9,6,2,172.55,2232.06,-76.7384,12.375,133,17.4,13.7,11.3,-1.915875297
235,10,6,2,165.5,2225.59,-10.3996,12.375,133,17.4,13.7,11.3,-2.251767164
236,11,6,2,174.3600174,2210.257593,8.0093,12.375,133,17.4,13.7,11.3,-2.484544713
