,objs-1,objs-2,objs-3,objs-4,objs-5,objs-6,objs-7,objs-8,objs-9,objs-10,objs-11,objs-12,objs-13,objs-14,objs-15,objs-16,objs-17,objs-18,objs-19,objs-20,objs-21,objs-22,objs-23,objs-24,objs-25,objs-26,objs-27,objs-28,objs-29,objs-30,actn-1,actn-2,actn-3,actn-4,actn-5,actn-6,actn-7,actn-8,actn-9,actn-10,actn-11,actn-12,actn-13,actn-14,actn-15,actn-16,actn-17,actn-18,actn-19,actn-20,actn-21,actn-22,actn-23,actn-24,actn-25,actn-26,actn-27,actn-28,actn-29,actn-30,best-objs-1,best-objs-2,best-objs-3,best-objs-4,best-objs-5,best-objs-6,best-objs-7,best-objs-8,best-objs-9,best-objs-10,best-objs-11,best-objs-12,best-objs-13,best-objs-14,best-objs-15,best-objs-16,best-objs-17,best-objs-18,best-objs-19,best-objs-20,best-objs-21,best-objs-22,best-objs-23,best-objs-24,best-objs-25,best-objs-26,best-objs-27,best-objs-28,best-objs-29,best-objs-30,best-acts-1,best-acts-2,best-acts-3,best-acts-4,best-acts-5,best-acts-6,best-acts-7,best-acts-8,best-acts-9,best-acts-10,best-acts-11,best-acts-12,best-acts-13,best-acts-14,best-acts-15,best-acts-16,best-acts-17,best-acts-18,best-acts-19,best-acts-20,best-acts-21,best-acts-22,best-acts-23,best-acts-24,best-acts-25,best-acts-26,best-acts-27,best-acts-28,best-acts-29,best-acts-30
0,-1.726567257,-2.685571282,-3.452429316,-3.408025199,-2.526125894,-4.089999079,-2.359948494,-2.724778868,-2.93334756,-2.020973782,-3.919886931,-2.763333919,-2.852517706,-2.111448645,-3.216079525,-2.3012431,-2.7407068,-6.376416183,-3.621409846,-3.435310549,-3.154588477,-4.264387083,-2.032532425,-1.454852697,-1.22923196,-2.949145273,-2.900637101,-4.855882376,-2.843558326,-3.261995081,471,91,719,851,897,656,24,547,1237,257,633,1122,1160,5,1288,906,123,1367,1482,953,916,898,122,444,561,1495,841,746,780,281,-1.726567257,-2.685571282,-3.452429316,-3.408025199,-2.526125894,-4.089999079,-2.359948494,-2.724778868,-2.93334756,-2.020973782,-3.919886931,-2.763333919,-2.852517706,-2.111448645,-3.216079525,-2.3012431,-2.7407068,-6.376416183,-3.621409846,-3.435310549,-3.154588477,-4.264387083,-2.032532425,-1.454852697,-1.22923196,-2.949145273,-2.900637101,-4.855882376,-2.843558326,-3.261995081,471,91,719,851,897,656,24,547,1237,257,633,1122,1160,5,1288,906,123,1367,1482,953,916,898,122,444,561,1495,841,746,780,281
1,-2.277669551,-2.166666828,-3.451422433,-3.382414551,-3.244045952,-2.580250803,-4.138612268,-2.214383989,-1.167525906,-2.842459146,-4.345793223,-1.622663376,-2.461065703,-3.488294796,-4.470787134,-4.470787134,-2.547119373,-2.460220484,-2.772386532,-1.84968798,-2.176781929,-3.209907129,-2.014074416,-1.088269678,-2.418348368,-3.08528241,-3.979570249,-3.634311461,-2.833695005,-1.787220046,9,75,1436,816,577,931,1348,984,437,757,56,576,667,754,793,793,1149,654,522,121,312,528,456,454,905,657,48,727,814,868,-1.726567257,-2.166666828,-3.451422433,-3.382414551,-2.526125894,-2.580250803,-2.359948494,-2.214383989,-1.167525906,-2.020973782,-3.919886931,-1.622663376,-2.461065703,-2.111448645,-3.216079525,-2.3012431,-2.547119373,-2.460220484,-2.772386532,-1.84968798,-2.176781929,-3.209907129,-2.014074416,-1.088269678,-1.22923196,-2.949145273,-2.900637101,-3.634311461,-2.833695005,-1.787220046,471,75,1436,816,897,931,24,984,437,257,633,576,667,5,1288,906,1149,654,522,121,312,528,456,454,561,1495,841,727,814,868
2,-2.591049916,-2.474971585,-3.4400599,-2.111822285,-2.202169906,-2.317341507,-1.616595903,-1.187106789,-2.417517324,-2.858538289,-2.246285609,-3.040961603,-1.900505481,-0.999221865,-2.941706895,-3.067646035,-2.392939783,-2.507583311,-2.902607557,-1.357485488,-3.740082908,-2.994362035,-2.121215469,-2.741603734,-3.444888819,-2.725151732,-2.799092618,-3.985148377,-1.94828066,-2.521570215,1100,1333,1032,19,230,664,572,575,433,734,1274,1372,1275,420,619,446,649,1463,622,594,848,8,388,1473,1151,1409,1442,1016,27,680,-1.726567257,-2.166666828,-3.4400599,-2.111822285,-2.202169906,-2.317341507,-1.616595903,-1.187106789,-1.167525906,-2.020973782,-2.246285609,-1.622663376,-1.900505481,-0.999221865,-2.941706895,-2.3012431,-2.392939783,-2.460220484,-2.772386532,-1.357485488,-2.176781929,-2.994362035,-2.014074416,-1.088269678,-1.22923196,-2.725151732,-2.799092618,-3.634311461,-1.94828066,-1.787220046,471,75,1032,19,230,664,572,575,437,257,1274,576,1275,420,619,906,649,654,522,594,312,8,456,454,561,1409,1442,727,27,868
3,-3.743082542,-3.154588477,-1.568724126,-4.027628851,-1.884704043,-3.157065491,-4.115194023,-3.161313431,-3.099055135,-3.094759819,-2.255705389,-4.635298694,-2.777985809,-5.488014606,-2.824165562,-1.035634773,-2.767833671,-2.180034682,-2.580250803,-2.852517706,-3.62788668,-1.792284032,-2.440809913,-2.889341968,-4.717483959,-3.657507088,-1.984852654,-2.946238406,-1.778137204,-2.741215735,1053,916,585,298,166,917,374,277,1298,617,223,1479,1035,1385,267,555,1137,436,931,1160,782,1311,208,365,1342,1170,1299,886,1209,625,-1.726567257,-2.166666828,-1.568724126,-2.111822285,-1.884704043,-2.317341507,-1.616595903,-1.187106789,-1.167525906,-2.020973782,-2.246285609,-1.622663376,-1.900505481,-0.999221865,-2.824165562,-1.035634773,-2.392939783,-2.180034682,-2.580250803,-1.357485488,-2.176781929,-1.792284032,-2.014074416,-1.088269678,-1.22923196,-2.725151732,-1.984852654,-2.946238406,-1.778137204,-1.787220046,471,75,585,19,166,664,572,575,437,257,1274,576,1275,420,267,555,649,436,931,594,312,1311,456,454,561,1409,1299,886,1209,868
4,-1.622663376,-3.099055135,-1.747925515,-2.685182584,-4.844223443,-3.258595475,-3.828561131,-2.775082279,-3.709517278,-2.176960712,-3.334155585,-1.847514045,-2.223924472,-2.228666146,-2.852517706,-2.833422874,-4.24977037,-2.176781929,-2.720452844,-1.848728701,-1.998070579,-2.579165145,-3.4402566,-2.763596077,-3.029416933,-3.176916891,-2.49077362,-2.210157852,-1.770638011,-4.361752416,576,1298,1284,143,798,376,1490,925,441,275,361,1295,1240,126,1160,1095,1386,312,1397,246,268,706,1410,597,771,431,1326,635,1215,1498,-1.622663376,-2.166666828,-1.568724126,-2.111822285,-1.884704043,-2.317341507,-1.616595903,-1.187106789,-1.167525906,-2.020973782,-2.246285609,-1.622663376,-1.900505481,-0.999221865,-2.824165562,-1.035634773,-2.392939783,-2.176781929,-2.580250803,-1.357485488,-1.998070579,-1.792284032,-2.014074416,-1.088269678,-1.22923196,-2.725151732,-1.984852654,-2.210157852,-1.770638011,-1.787220046,576,75,585,19,166,664,572,575,437,257,1274,576,1275,420,267,555,649,312,931,594,268,1311,456,454,561,1409,1299,635,1215,868
5,-3.338945391,-3.428092916,-3.154225439,-4.468609951,-1.423815686,-1.231739613,-2.610721952,-1.63865022,-3.850665662,-3.602881199,-4.187381748,-3.974990546,-2.489061257,-4.048592401,-2.914396274,-4.128898128,-3.4400599,-1.516234836,-3.663342246,-2.49077362,-2.503109312,-3.031932129,-2.208490575,-3.928848197,-3.256050208,-2.837644671,-1.792284032,-1.857846356,-3.45116419,-4.350880813,478,824,128,393,422,570,665,335,445,387,794,1050,887,430,871,1009,1032,587,768,1326,325,795,214,853,789,242,1311,4,1214,1378,-1.622663376,-2.166666828,-1.568724126,-2.111822285,-1.423815686,-1.231739613,-1.616595903,-1.187106789,-1.167525906,-2.020973782,-2.246285609,-1.622663376,-1.900505481,-0.999221865,-2.824165562,-1.035634773,-2.392939783,-1.516234836,-2.580250803,-1.357485488,-1.998070579,-1.792284032,-2.014074416,-1.088269678,-1.22923196,-2.725151732,-1.792284032,-1.857846356,-1.770638011,-1.787220046,576,75,585,19,422,570,572,575,437,257,1274,576,1275,420,267,555,649,587,931,594,268,1311,456,454,561,1409,1311,4,1215,868
6,-2.724778868,-3.822274116,-4.241788418,-4.424421127,-2.820921453,-3.38735094,-3.958370157,-2.187642117,-3.122015461,-2.753578723,-2.394477238,-2.509459386,-2.672013448,-2.399152888,-4.128898128,-2.481686926,-3.89449011,-3.659548553,-3.188446737,-2.907701583,-5.139345596,-3.542412107,-2.801451105,-1.990355304,-2.014074416,-2.770369228,-1.749968182,-2.726449976,-2.682087145,-2.586729507,547,715,833,71,1152,179,148,582,566,364,344,65,196,640,1009,1285,918,1464,1415,595,693,1312,22,541,456,1034,1206,1427,692,52,-1.622663376,-2.166666828,-1.568724126,-2.111822285,-1.423815686,-1.231739613,-1.616595903,-1.187106789,-1.167525906,-2.020973782,-2.246285609,-1.622663376,-1.900505481,-0.999221865,-2.824165562,-1.035634773,-2.392939783,-1.516234836,-2.580250803,-1.357485488,-1.998070579,-1.792284032,-2.014074416,-1.088269678,-1.22923196,-2.725151732,-1.749968182,-1.857846356,-1.770638011,-1.787220046,576,75,585,19,422,570,572,575,437,257,1274,576,1275,420,267,555,649,587,931,594,268,1311,456,454,561,1409,1206,4,1215,868
7,-2.687783461,-3.686633442,-2.994362035,-2.543438111,-0.769774267,-2.892041431,-2.725151732,-5.485041403,-3.670375438,-2.507959557,-3.468889322,-3.122015461,-2.914396274,-1.050349859,-2.685571282,-2.068826356,-2.820921453,-3.789801414,-2.290518748,-3.730132392,-2.950302715,-1.749968182,-3.896984679,-1.294784667,-1.628277247,-3.101171397,-2.004604151,-1.221063603,-2.849635603,-3.645136075,276,145,8,134,560,922,1409,1079,614,314,859,566,871,410,91,949,1152,1398,1259,291,507,1206,448,455,556,702,1306,1231,1445,1172,-1.622663376,-2.166666828,-1.568724126,-2.111822285,-0.769774267,-1.231739613,-1.616595903,-1.187106789,-1.167525906,-2.020973782,-2.246285609,-1.622663376,-1.900505481,-0.999221865,-2.685571282,-1.035634773,-2.392939783,-1.516234836,-2.290518748,-1.357485488,-1.998070579,-1.749968182,-2.014074416,-1.088269678,-1.22923196,-2.725151732,-1.749968182,-1.221063603,-1.770638011,-1.787220046,576,75,585,19,560,570,572,575,437,257,1274,576,1275,420,91,555,649,587,1259,594,268,1206,456,454,561,1409,1206,1231,1215,868
8,-1.505395294,-3.743082542,-3.154588477,-2.763333919,-1.523758158,-2.73396282,-2.097645677,-1.852569394,-2.743627325,-2.907701583,-2.311040819,-1.765501018,-1.775534557,-2.715908275,-5.229774253,-4.378006413,-1.849239551,-2.69141385,-4.920833413,-2.176659836,-2.121215469,-2.296886136,-3.706490344,-1.474898988,-1.622663376,-5.239655232,-2.373921283,-1.965799203,-1.187246356,-2.552414411,330,1053,916,1122,473,1047,1294,167,1412,595,699,1249,150,329,1365,628,1290,1135,1361,159,388,58,464,182,576,1094,1266,395,511,1297,-1.505395294,-2.166666828,-1.568724126,-2.111822285,-0.769774267,-1.231739613,-1.616595903,-1.187106789,-1.167525906,-2.020973782,-2.246285609,-1.622663376,-1.775534557,-0.999221865,-2.685571282,-1.035634773,-1.849239551,-1.516234836,-2.290518748,-1.357485488,-1.998070579,-1.749968182,-2.014074416,-1.088269678,-1.22923196,-2.725151732,-1.749968182,-1.221063603,-1.187246356,-1.787220046,330,75,585,19,560,570,572,575,437,257,1274,576,150,420,91,555,1290,587,1259,594,268,1206,456,454,561,1409,1206,1231,511,868
9,-3.572207975,-3.554039989,-2.687783461,-1.625588693,-5.316368503,-2.734551582,-2.724778868,-2.045065828,-2.941706895,-3.586577109,-3.159804004,-2.886431342,-2.741860035,-4.361904462,-5.309655539,-2.807407945,-3.822274116,-2.554072676,-2.740985976,-2.052958963,-3.896984679,-2.824165562,-2.431256729,-2.946238406,-3.303979315,-3.291197629,-2.910977072,-3.382358037,-3.317606768,-3.586244845,1303,1022,276,334,1061,36,547,485,619,712,1193,178,423,1198,1051,117,715,847,1134,124,448,267,935,886,562,1073,1223,1499,608,877,-1.505395294,-2.166666828,-1.568724126,-1.625588693,-0.769774267,-1.231739613,-1.616595903,-1.187106789,-1.167525906,-2.020973782,-2.246285609,-1.622663376,-1.775534557,-0.999221865,-2.685571282,-1.035634773,-1.849239551,-1.516234836,-2.290518748,-1.357485488,-1.998070579,-1.749968182,-2.014074416,-1.088269678,-1.22923196,-2.725151732,-1.749968182,-1.221063603,-1.187246356,-1.787220046,330,75,585,334,560,570,572,575,437,257,1274,576,150,420,91,555,1290,587,1259,594,268,1206,456,454,561,1409,1206,1231,511,868
