expID,ligand,base,solvent,notation
120,15,8,1,Ak-Et_Cs2CO3_DMSO
121,1,9,1,Ar-H_CsF_DMSO
122,2,9,1,Ar-OMe_CsF_DMSO
123,3,9,1,Ar-Me2OMe_CsF_DMSO
124,4,9,1,Ar-Me3_CsF_DMSO
125,5,9,1,Ar-Me2_CsF_DMSO
126,6,9,1,Ar-F_CsF_DMSO
127,7,9,1,Ar-CF3_CsF_DMSO
128,8,9,1,Ar-CF32_CsF_DMSO
129,9,9,1,Ar-F5_CsF_DMSO
130,10,9,1,Ar-Cl_CsF_DMSO
131,11,9,1,Ak-Cy_CsF_DMSO
132,12,9,1,Ak-tBu_CsF_DMSO
133,13,9,1,Ak-nBu_CsF_DMSO
134,14,9,1,Ak-Me_CsF_DMSO
135,15,9,1,Ak-Et_CsF_DMSO
136,1,10,1,Ar-H_NEt4OH_DMSO
137,2,10,1,Ar-OMe_NEt4OH_DMSO
138,3,10,1,Ar-Me2OMe_NEt4OH_DMSO
139,4,10,1,Ar-Me3_NEt4OH_DMSO
140,5,10,1,Ar-Me2_NEt4OH_DMSO
141,6,10,1,Ar-F_NEt4OH_DMSO
142,7,10,1,Ar-CF3_NEt4OH_DMSO
143,8,10,1,Ar-CF32_NEt4OH_DMSO
144,9,10,1,Ar-F5_NEt4OH_DMSO
145,10,10,1,Ar-Cl_NEt4OH_DMSO
146,11,10,1,Ak-Cy_NEt4OH_DMSO
147,12,10,1,Ak-tBu_NEt4OH_DMSO
148,13,10,1,Ak-nBu_NEt4OH_DMSO
149,14,10,1,Ak-Me_NEt4OH_DMSO
150,15,10,1,Ak-Et_NEt4OH_DMSO
151,1,1,2,Ar-H_Na2CO3_DMF
152,2,1,2,Ar-OMe_Na2CO3_DMF
153,3,1,2,Ar-Me2OMe_Na2CO3_DMF
154,4,1,2,Ar-Me3_Na2CO3_DMF
155,5,1,2,Ar-Me2_Na2CO3_DMF
156,6,1,2,Ar-F_Na2CO3_DMF
157,7,1,2,Ar-CF3_Na2CO3_DMF
158,8,1,2,Ar-CF32_Na2CO3_DMF
159,9,1,2,Ar-F5_Na2CO3_DMF
160,10,1,2,Ar-Cl_Na2CO3_DMF
161,11,1,2,Ak-Cy_Na2CO3_DMF
162,12,1,2,Ak-tBu_Na2CO3_DMF
163,13,1,2,Ak-nBu_Na2CO3_DMF
164,14,1,2,Ak-Me_Na2CO3_DMF
165,15,1,2,Ak-Et_Na2CO3_DMF
166,1,2,2,Ar-H_NaHCO3_DMF
167,2,2,2,Ar-OMe_NaHCO3_DMF
168,3,2,2,Ar-Me2OMe_NaHCO3_DMF
169,4,2,2,Ar-Me3_NaHCO3_DMF
170,5,2,2,Ar-Me2_NaHCO3_DMF
171,6,2,2,Ar-F_NaHCO3_DMF
172,7,2,2,Ar-CF3_NaHCO3_DMF
173,8,2,2,Ar-CF32_NaHCO3_DMF
174,9,2,2,Ar-F5_NaHCO3_DMF
175,10,2,2,Ar-Cl_NaHCO3_DMF
176,11,2,2,Ak-Cy_NaHCO3_DMF
177,12,2,2,Ak-tBu_NaHCO3_DMF
178,13,2,2,Ak-nBu_NaHCO3_DMF
179,14,2,2,Ak-Me_NaHCO3_DMF
180,15,2,2,Ak-Et_NaHCO3_DMF
181,1,3,2,Ar-H_NaOH_DMF
182,2,3,2,Ar-OMe_NaOH_DMF
183,3,3,2,Ar-Me2OMe_NaOH_DMF
184,4,3,2,Ar-Me3_NaOH_DMF
185,5,3,2,Ar-Me2_NaOH_DMF
186,6,3,2,Ar-F_NaOH_DMF
187,7,3,2,Ar-CF3_NaOH_DMF
188,8,3,2,Ar-CF32_NaOH_DMF
189,9,3,2,Ar-F5_NaOH_DMF
190,10,3,2,Ar-Cl_NaOH_DMF
191,11,3,2,Ak-Cy_NaOH_DMF
192,12,3,2,Ak-tBu_NaOH_DMF
193,13,3,2,Ak-nBu_NaOH_DMF
194,14,3,2,Ak-Me_NaOH_DMF
195,15,3,2,Ak-Et_NaOH_DMF
196,1,4,2,Ar-H_K2CO3_DMF
197,2,4,2,Ar-OMe_K2CO3_DMF
198,3,4,2,Ar-Me2OMe_K2CO3_DMF
199,4,4,2,Ar-Me3_K2CO3_DMF
200,5,4,2,Ar-Me2_K2CO3_DMF
201,6,4,2,Ar-F_K2CO3_DMF
202,7,4,2,Ar-CF3_K2CO3_DMF
203,8,4,2,Ar-CF32_K2CO3_DMF
204,9,4,2,Ar-F5_K2CO3_DMF
205,10,4,2,Ar-Cl_K2CO3_DMF
206,11,4,2,Ak-Cy_K2CO3_DMF
207,12,4,2,Ak-tBu_K2CO3_DMF
208,13,4,2,Ak-nBu_K2CO3_DMF
209,14,4,2,Ak-Me_K2CO3_DMF
210,15,4,2,Ak-Et_K2CO3_DMF
211,1,5,2,Ar-H_KOH_DMF
212,2,5,2,Ar-OMe_KOH_DMF
213,3,5,2,Ar-Me2OMe_KOH_DMF
214,4,5,2,Ar-Me3_KOH_DMF
215,5,5,2,Ar-Me2_KOH_DMF
216,6,5,2,Ar-F_KOH_DMF
217,7,5,2,Ar-CF3_KOH_DMF
218,8,5,2,Ar-CF32_KOH_DMF
219,9,5,2,Ar-F5_KOH_DMF
220,10,5,2,Ar-Cl_KOH_DMF
221,11,5,2,Ak-Cy_KOH_DMF
222,12,5,2,Ak-tBu_KOH_DMF
223,13,5,2,Ak-nBu_KOH_DMF
224,14,5,2,Ak-Me_KOH_DMF
225,15,5,2,Ak-Et_KOH_DMF
226,1,6,2,Ar-H_K3PO4_DMF
227,2,6,2,Ar-OMe_K3PO4_DMF
228,3,6,2,Ar-Me2OMe_K3PO4_DMF
229,4,6,2,Ar-Me3_K3PO4_DMF
230,5,6,2,Ar-Me2_K3PO4_DMF
231,6,6,2,Ar-F_K3PO4_DMF
232,7,6,2,Ar-CF3_K3PO4_DMF
233,8,6,2,Ar-CF32_K3PO4_DMF
234,9,6,2,Ar-F5_K3PO4_DMF
235,10,6,2,Ar-Cl_K3PO4_DMF
236,11,6,2,Ak-Cy_K3PO4_DMF
237,12,6,2,Ak-tBu_K3PO4_DMF
238,13,6,2,Ak-nBu_K3PO4_DMF
239,14,6,2,Ak-Me_K3PO4_DMF
240,15,6,2,Ak-Et_K3PO4_DMF
241,1,7,2,Ar-H_KOAc_DMF
242,2,7,2,Ar-OMe_KOAc_DMF
243,3,7,2,Ar-Me2OMe_KOAc_DMF
244,4,7,2,Ar-Me3_KOAc_DMF
245,5,7,2,Ar-Me2_KOAc_DMF
246,6,7,2,Ar-F_KOAc_DMF
247,7,7,2,Ar-CF3_KOAc_DMF
248,8,7,2,Ar-CF32_KOAc_DMF
249,9,7,2,Ar-F5_KOAc_DMF
250,10,7,2,Ar-Cl_KOAc_DMF
251,11,7,2,Ak-Cy_KOAc_DMF
252,12,7,2,Ak-tBu_KOAc_DMF
253,13,7,2,Ak-nBu_KOAc_DMF
254,14,7,2,Ak-Me_KOAc_DMF
255,15,7,2,Ak-Et_KOAc_DMF
256,1,8,2,Ar-H_Cs2CO3_DMF
257,2,8,2,Ar-OMe_Cs2CO3_DMF
258,3,8,2,Ar-Me2OMe_Cs2CO3_DMF
259,4,8,2,Ar-Me3_Cs2CO3_DMF
260,5,8,2,Ar-Me2_Cs2CO3_DMF
261,6,8,2,Ar-F_Cs2CO3_DMF
262,7,8,2,Ar-CF3_Cs2CO3_DMF
263,8,8,2,Ar-CF32_Cs2CO3_DMF
264,9,8,2,Ar-F5_Cs2CO3_DMF
265,10,8,2,Ar-Cl_Cs2CO3_DMF
266,11,8,2,Ak-Cy_Cs2CO3_DMF
267,12,8,2,Ak-tBu_Cs2CO3_DMF
268,13,8,2,Ak-nBu_Cs2CO3_DMF
269,14,8,2,Ak-Me_Cs2CO3_DMF
270,15,8,2,Ak-Et_Cs2CO3_DMF
271,1,9,2,Ar-H_CsF_DMF
272,2,9,2,Ar-OMe_CsF_DMF
273,3,9,2,Ar-Me2OMe_CsF_DMF
274,4,9,2,Ar-Me3_CsF_DMF
275,5,9,2,Ar-Me2_CsF_DMF
276,6,9,2,Ar-F_CsF_DMF
277,7,9,2,Ar-CF3_CsF_DMF
278,8,9,2,Ar-CF32_CsF_DMF
279,9,9,2,Ar-F5_CsF_DMF
280,10,9,2,Ar-Cl_CsF_DMF
281,11,9,2,Ak-Cy_CsF_DMF
282,12,9,2,Ak-tBu_CsF_DMF
283,13,9,2,Ak-nBu_CsF_DMF
284,14,9,2,Ak-Me_CsF_DMF
285,15,9,2,Ak-Et_CsF_DMF
286,1,10,2,Ar-H_NEt4OH_DMF
287,2,10,2,Ar-OMe_NEt4OH_DMF
288,3,10,2,Ar-Me2OMe_NEt4OH_DMF
289,4,10,2,Ar-Me3_NEt4OH_DMF
290,5,10,2,Ar-Me2_NEt4OH_DMF
291,6,10,2,Ar-F_NEt4OH_DMF
292,7,10,2,Ar-CF3_NEt4OH_DMF
293,8,10,2,Ar-CF32_NEt4OH_DMF
294,9,10,2,Ar-F5_NEt4OH_DMF
295,10,10,2,Ar-Cl_NEt4OH_DMF
296,11,10,2,Ak-Cy_NEt4OH_DMF
297,12,10,2,Ak-tBu_NEt4OH_DMF
298,13,10,2,Ak-nBu_NEt4OH_DMF
299,14,10,2,Ak-Me_NEt4OH_DMF
300,15,10,2,Ak-Et_NEt4OH_DMF
301,1,1,3,Ar-H_Na2CO3_MeCN
302,2,1,3,Ar-OMe_Na2CO3_MeCN
303,3,1,3,Ar-Me2OMe_Na2CO3_MeCN
304,4,1,3,Ar-Me3_Na2CO3_MeCN
305,5,1,3,Ar-Me2_Na2CO3_MeCN
306,6,1,3,Ar-F_Na2CO3_MeCN
307,7,1,3,Ar-CF3_Na2CO3_MeCN
308,8,1,3,Ar-CF32_Na2CO3_MeCN
309,9,1,3,Ar-F5_Na2CO3_MeCN
310,10,1,3,Ar-Cl_Na2CO3_MeCN
311,11,1,3,Ak-Cy_Na2CO3_MeCN
312,12,1,3,Ak-tBu_Na2CO3_MeCN
313,13,1,3,Ak-nBu_Na2CO3_MeCN
314,14,1,3,Ak-Me_Na2CO3_MeCN
315,15,1,3,Ak-Et_Na2CO3_MeCN
316,1,2,3,Ar-H_NaHCO3_MeCN
317,2,2,3,Ar-OMe_NaHCO3_MeCN
318,3,2,3,Ar-Me2OMe_NaHCO3_MeCN
319,4,2,3,Ar-Me3_NaHCO3_MeCN
320,5,2,3,Ar-Me2_NaHCO3_MeCN
321,6,2,3,Ar-F_NaHCO3_MeCN
322,7,2,3,Ar-CF3_NaHCO3_MeCN
323,8,2,3,Ar-CF32_NaHCO3_MeCN
324,9,2,3,Ar-F5_NaHCO3_MeCN
325,10,2,3,Ar-Cl_NaHCO3_MeCN
326,11,2,3,Ak-Cy_NaHCO3_MeCN
327,12,2,3,Ak-tBu_NaHCO3_MeCN
328,13,2,3,Ak-nBu_NaHCO3_MeCN
329,14,2,3,Ak-Me_NaHCO3_MeCN
330,15,2,3,Ak-Et_NaHCO3_MeCN
331,1,3,3,Ar-H_NaOH_MeCN
332,2,3,3,Ar-OMe_NaOH_MeCN
333,3,3,3,Ar-Me2OMe_NaOH_MeCN
334,4,3,3,Ar-Me3_NaOH_MeCN
335,5,3,3,Ar-Me2_NaOH_MeCN
336,6,3,3,Ar-F_NaOH_MeCN
337,7,3,3,Ar-CF3_NaOH_MeCN
338,8,3,3,Ar-CF32_NaOH_MeCN
339,9,3,3,Ar-F5_NaOH_MeCN
340,10,3,3,Ar-Cl_NaOH_MeCN
341,11,3,3,Ak-Cy_NaOH_MeCN
342,12,3,3,Ak-tBu_NaOH_MeCN
343,13,3,3,Ak-nBu_NaOH_MeCN
344,14,3,3,Ak-Me_NaOH_MeCN
345,15,3,3,Ak-Et_NaOH_MeCN
346,1,4,3,Ar-H_K2CO3_MeCN
347,2,4,3,Ar-OMe_K2CO3_MeCN
348,3,4,3,Ar-Me2OMe_K2CO3_MeCN
349,4,4,3,Ar-Me3_K2CO3_MeCN
350,5,4,3,Ar-Me2_K2CO3_MeCN
351,6,4,3,Ar-F_K2CO3_MeCN
352,7,4,3,Ar-CF3_K2CO3_MeCN
353,8,4,3,Ar-CF32_K2CO3_MeCN
354,9,4,3,Ar-F5_K2CO3_MeCN
355,10,4,3,Ar-Cl_K2CO3_MeCN
356,11,4,3,Ak-Cy_K2CO3_MeCN
357,12,4,3,Ak-tBu_K2CO3_MeCN
358,13,4,3,Ak-nBu_K2CO3_MeCN
359,14,4,3,Ak-Me_K2CO3_MeCN
360,15,4,3,Ak-Et_K2CO3_MeCN
361,1,5,3,Ar-H_KOH_MeCN
362,2,5,3,Ar-OMe_KOH_MeCN
363,3,5,3,Ar-Me2OMe_KOH_MeCN
364,4,5,3,Ar-Me3_KOH_MeCN
