expID,ligand,base,solvent,notation
527,2,6,4,Ar-OMe_K3PO4_nPrOH
528,3,6,4,Ar-Me2OMe_K3PO4_nPrOH
529,4,6,4,Ar-Me3_K3PO4_nPrOH
530,5,6,4,Ar-Me2_K3PO4_nPrOH
531,6,6,4,Ar-F_K3PO4_nPrOH
532,7,6,4,Ar-CF3_K3PO4_nPrOH
533,8,6,4,Ar-CF32_K3PO4_nPrOH
534,9,6,4,Ar-F5_K3PO4_nPrOH
535,10,6,4,Ar-Cl_K3PO4_nPrOH
536,11,6,4,Ak-Cy_K3PO4_nPrOH
537,12,6,4,Ak-tBu_K3PO4_nPrOH
538,13,6,4,Ak-nBu_K3PO4_nPrOH
539,14,6,4,Ak-Me_K3PO4_nPrOH
540,15,6,4,Ak-Et_K3PO4_nPrOH
541,1,7,4,Ar-H_KOAc_nPrOH
542,2,7,4,Ar-OMe_KOAc_nPrOH
543,3,7,4,Ar-Me2OMe_KOAc_nPrOH
544,4,7,4,Ar-Me3_KOAc_nPrOH
545,5,7,4,Ar-Me2_KOAc_nPrOH
546,6,7,4,Ar-F_KOAc_nPrOH
547,7,7,4,Ar-CF3_KOAc_nPrOH
548,8,7,4,Ar-CF32_KOAc_nPrOH
549,9,7,4,Ar-F5_KOAc_nPrOH
550,10,7,4,Ar-Cl_KOAc_nPrOH
551,11,7,4,Ak-Cy_KOAc_nPrOH
552,12,7,4,Ak-tBu_KOAc_nPrOH
553,13,7,4,Ak-nBu_KOAc_nPrOH
554,14,7,4,Ak-Me_KOAc_nPrOH
555,15,7,4,Ak-Et_KOAc_nPrOH
556,1,8,4,Ar-H_Cs2CO3_nPrOH
557,2,8,4,Ar-OMe_Cs2CO3_nPrOH
558,3,8,4,Ar-Me2OMe_Cs2CO3_nPrOH
559,4,8,4,Ar-Me3_Cs2CO3_nPrOH
560,5,8,4,Ar-Me2_Cs2CO3_nPrOH
561,6,8,4,Ar-F_Cs2CO3_nPrOH
562,7,8,4,Ar-CF3_Cs2CO3_nPrOH
563,8,8,4,Ar-CF32_Cs2CO3_nPrOH
564,9,8,4,Ar-F5_Cs2CO3_nPrOH
565,10,8,4,Ar-Cl_Cs2CO3_nPrOH
566,11,8,4,Ak-Cy_Cs2CO3_nPrOH
567,12,8,4,Ak-tBu_Cs2CO3_nPrOH
568,13,8,4,Ak-nBu_Cs2CO3_nPrOH
569,14,8,4,Ak-Me_Cs2CO3_nPrOH
570,15,8,4,Ak-Et_Cs2CO3_nPrOH
571,1,9,4,Ar-H_CsF_nPrOH
572,2,9,4,Ar-OMe_CsF_nPrOH
573,3,9,4,Ar-Me2OMe_CsF_nPrOH
574,4,9,4,Ar-Me3_CsF_nPrOH
575,5,9,4,Ar-Me2_CsF_nPrOH
576,6,9,4,Ar-F_CsF_nPrOH
577,7,9,4,Ar-CF3_CsF_nPrOH
578,8,9,4,Ar-CF32_CsF_nPrOH
579,9,9,4,Ar-F5_CsF_nPrOH
580,10,9,4,Ar-Cl_CsF_nPrOH
581,11,9,4,Ak-Cy_CsF_nPrOH
582,12,9,4,Ak-tBu_CsF_nPrOH
583,13,9,4,Ak-nBu_CsF_nPrOH
584,14,9,4,Ak-Me_CsF_nPrOH
585,15,9,4,Ak-Et_CsF_nPrOH
586,1,10,4,Ar-H_NEt4OH_nPrOH
587,2,10,4,Ar-OMe_NEt4OH_nPrOH
588,3,10,4,Ar-Me2OMe_NEt4OH_nPrOH
589,4,10,4,Ar-Me3_NEt4OH_nPrOH
590,5,10,4,Ar-Me2_NEt4OH_nPrOH
591,6,10,4,Ar-F_NEt4OH_nPrOH
592,7,10,4,Ar-CF3_NEt4OH_nPrOH
593,8,10,4,Ar-CF32_NEt4OH_nPrOH
594,9,10,4,Ar-F5_NEt4OH_nPrOH
595,10,10,4,Ar-Cl_NEt4OH_nPrOH
596,11,10,4,Ak-Cy_NEt4OH_nPrOH
597,12,10,4,Ak-tBu_NEt4OH_nPrOH
598,13,10,4,Ak-nBu_NEt4OH_nPrOH
599,14,10,4,Ak-Me_NEt4OH_nPrOH
600,15,10,4,Ak-Et_NEt4OH_nPrOH
601,1,1,5,Ar-H_Na2CO3_C2H4Cl2
602,2,1,5,Ar-OMe_Na2CO3_C2H4Cl2
603,3,1,5,Ar-Me2OMe_Na2CO3_C2H4Cl2
604,4,1,5,Ar-Me3_Na2CO3_C2H4Cl2
605,5,1,5,Ar-Me2_Na2CO3_C2H4Cl2
606,6,1,5,Ar-F_Na2CO3_C2H4Cl2
607,7,1,5,Ar-CF3_Na2CO3_C2H4Cl2
608,8,1,5,Ar-CF32_Na2CO3_C2H4Cl2
609,9,1,5,Ar-F5_Na2CO3_C2H4Cl2
610,10,1,5,Ar-Cl_Na2CO3_C2H4Cl2
611,11,1,5,Ak-Cy_Na2CO3_C2H4Cl2
612,12,1,5,Ak-tBu_Na2CO3_C2H4Cl2
613,13,1,5,Ak-nBu_Na2CO3_C2H4Cl2
614,14,1,5,Ak-Me_Na2CO3_C2H4Cl2
615,15,1,5,Ak-Et_Na2CO3_C2H4Cl2
616,1,2,5,Ar-H_NaHCO3_C2H4Cl2
617,2,2,5,Ar-OMe_NaHCO3_C2H4Cl2
618,3,2,5,Ar-Me2OMe_NaHCO3_C2H4Cl2
619,4,2,5,Ar-Me3_NaHCO3_C2H4Cl2
620,5,2,5,Ar-Me2_NaHCO3_C2H4Cl2
621,6,2,5,Ar-F_NaHCO3_C2H4Cl2
622,7,2,5,Ar-CF3_NaHCO3_C2H4Cl2
623,8,2,5,Ar-CF32_NaHCO3_C2H4Cl2
624,9,2,5,Ar-F5_NaHCO3_C2H4Cl2
625,10,2,5,Ar-Cl_NaHCO3_C2H4Cl2
626,11,2,5,Ak-Cy_NaHCO3_C2H4Cl2
627,12,2,5,Ak-tBu_NaHCO3_C2H4Cl2
628,13,2,5,Ak-nBu_NaHCO3_C2H4Cl2
629,14,2,5,Ak-Me_NaHCO3_C2H4Cl2
630,15,2,5,Ak-Et_NaHCO3_C2H4Cl2
631,1,3,5,Ar-H_NaOH_C2H4Cl2
632,2,3,5,Ar-OMe_NaOH_C2H4Cl2
633,3,3,5,Ar-Me2OMe_NaOH_C2H4Cl2
634,4,3,5,Ar-Me3_NaOH_C2H4Cl2
635,5,3,5,Ar-Me2_NaOH_C2H4Cl2
636,6,3,5,Ar-F_NaOH_C2H4Cl2
637,7,3,5,Ar-CF3_NaOH_C2H4Cl2
638,8,3,5,Ar-CF32_NaOH_C2H4Cl2
639,9,3,5,Ar-F5_NaOH_C2H4Cl2
640,10,3,5,Ar-Cl_NaOH_C2H4Cl2
641,11,3,5,Ak-Cy_NaOH_C2H4Cl2
642,12,3,5,Ak-tBu_NaOH_C2H4Cl2
643,13,3,5,Ak-nBu_NaOH_C2H4Cl2
644,14,3,5,Ak-Me_NaOH_C2H4Cl2
645,15,3,5,Ak-Et_NaOH_C2H4Cl2
646,1,4,5,Ar-H_K2CO3_C2H4Cl2
647,2,4,5,Ar-OMe_K2CO3_C2H4Cl2
648,3,4,5,Ar-Me2OMe_K2CO3_C2H4Cl2
649,4,4,5,Ar-Me3_K2CO3_C2H4Cl2
650,5,4,5,Ar-Me2_K2CO3_C2H4Cl2
651,6,4,5,Ar-F_K2CO3_C2H4Cl2
652,7,4,5,Ar-CF3_K2CO3_C2H4Cl2
653,8,4,5,Ar-CF32_K2CO3_C2H4Cl2
654,9,4,5,Ar-F5_K2CO3_C2H4Cl2
655,10,4,5,Ar-Cl_K2CO3_C2H4Cl2
656,11,4,5,Ak-Cy_K2CO3_C2H4Cl2
657,12,4,5,Ak-tBu_K2CO3_C2H4Cl2
658,13,4,5,Ak-nBu_K2CO3_C2H4Cl2
659,14,4,5,Ak-Me_K2CO3_C2H4Cl2
660,15,4,5,Ak-Et_K2CO3_C2H4Cl2
661,1,5,5,Ar-H_KOH_C2H4Cl2
662,2,5,5,Ar-OMe_KOH_C2H4Cl2
663,3,5,5,Ar-Me2OMe_KOH_C2H4Cl2
664,4,5,5,Ar-Me3_KOH_C2H4Cl2
665,5,5,5,Ar-Me2_KOH_C2H4Cl2
666,6,5,5,Ar-F_KOH_C2H4Cl2
667,7,5,5,Ar-CF3_KOH_C2H4Cl2
668,8,5,5,Ar-CF32_KOH_C2H4Cl2
669,9,5,5,Ar-F5_KOH_C2H4Cl2
670,10,5,5,Ar-Cl_KOH_C2H4Cl2
671,11,5,5,Ak-Cy_KOH_C2H4Cl2
672,12,5,5,Ak-tBu_KOH_C2H4Cl2
673,13,5,5,Ak-nBu_KOH_C2H4Cl2
674,14,5,5,Ak-Me_KOH_C2H4Cl2
675,15,5,5,Ak-Et_KOH_C2H4Cl2
676,1,6,5,Ar-H_K3PO4_C2H4Cl2
677,2,6,5,Ar-OMe_K3PO4_C2H4Cl2
678,3,6,5,Ar-Me2OMe_K3PO4_C2H4Cl2
679,4,6,5,Ar-Me3_K3PO4_C2H4Cl2
680,5,6,5,Ar-Me2_K3PO4_C2H4Cl2
681,6,6,5,Ar-F_K3PO4_C2H4Cl2
682,7,6,5,Ar-CF3_K3PO4_C2H4Cl2
683,8,6,5,Ar-CF32_K3PO4_C2H4Cl2
684,9,6,5,Ar-F5_K3PO4_C2H4Cl2
685,10,6,5,Ar-Cl_K3PO4_C2H4Cl2
686,11,6,5,Ak-Cy_K3PO4_C2H4Cl2
687,12,6,5,Ak-tBu_K3PO4_C2H4Cl2
688,13,6,5,Ak-nBu_K3PO4_C2H4Cl2
689,14,6,5,Ak-Me_K3PO4_C2H4Cl2
690,15,6,5,Ak-Et_K3PO4_C2H4Cl2
691,1,7,5,Ar-H_KOAc_C2H4Cl2
692,2,7,5,Ar-OMe_KOAc_C2H4Cl2
693,3,7,5,Ar-Me2OMe_KOAc_C2H4Cl2
694,4,7,5,Ar-Me3_KOAc_C2H4Cl2
695,5,7,5,Ar-Me2_KOAc_C2H4Cl2
696,6,7,5,Ar-F_KOAc_C2H4Cl2
697,7,7,5,Ar-CF3_KOAc_C2H4Cl2
698,8,7,5,Ar-CF32_KOAc_C2H4Cl2
699,9,7,5,Ar-F5_KOAc_C2H4Cl2
700,10,7,5,Ar-Cl_KOAc_C2H4Cl2
701,11,7,5,Ak-Cy_KOAc_C2H4Cl2
702,12,7,5,Ak-tBu_KOAc_C2H4Cl2
703,13,7,5,Ak-nBu_KOAc_C2H4Cl2
704,14,7,5,Ak-Me_KOAc_C2H4Cl2
705,15,7,5,Ak-Et_KOAc_C2H4Cl2
706,1,8,5,Ar-H_Cs2CO3_C2H4Cl2
707,2,8,5,Ar-OMe_Cs2CO3_C2H4Cl2
708,3,8,5,Ar-Me2OMe_Cs2CO3_C2H4Cl2
709,4,8,5,Ar-Me3_Cs2CO3_C2H4Cl2
710,5,8,5,Ar-Me2_Cs2CO3_C2H4Cl2
711,6,8,5,Ar-F_Cs2CO3_C2H4Cl2
712,7,8,5,Ar-CF3_Cs2CO3_C2H4Cl2
713,8,8,5,Ar-CF32_Cs2CO3_C2H4Cl2
714,9,8,5,Ar-F5_Cs2CO3_C2H4Cl2
715,10,8,5,Ar-Cl_Cs2CO3_C2H4Cl2
716,11,8,5,Ak-Cy_Cs2CO3_C2H4Cl2
717,12,8,5,Ak-tBu_Cs2CO3_C2H4Cl2
718,13,8,5,Ak-nBu_Cs2CO3_C2H4Cl2
719,14,8,5,Ak-Me_Cs2CO3_C2H4Cl2
720,15,8,5,Ak-Et_Cs2CO3_C2H4Cl2
721,1,9,5,Ar-H_CsF_C2H4Cl2
722,2,9,5,Ar-OMe_CsF_C2H4Cl2
723,3,9,5,Ar-Me2OMe_CsF_C2H4Cl2
724,4,9,5,Ar-Me3_CsF_C2H4Cl2
725,5,9,5,Ar-Me2_CsF_C2H4Cl2
726,6,9,5,Ar-F_CsF_C2H4Cl2
727,7,9,5,Ar-CF3_CsF_C2H4Cl2
728,8,9,5,Ar-CF32_CsF_C2H4Cl2
729,9,9,5,Ar-F5_CsF_C2H4Cl2
730,10,9,5,Ar-Cl_CsF_C2H4Cl2
731,11,9,5,Ak-Cy_CsF_C2H4Cl2
732,12,9,5,Ak-tBu_CsF_C2H4Cl2
733,13,9,5,Ak-nBu_CsF_C2H4Cl2
734,14,9,5,Ak-Me_CsF_C2H4Cl2
735,15,9,5,Ak-Et_CsF_C2H4Cl2
736,1,10,5,Ar-H_NEt4OH_C2H4Cl2
737,2,10,5,Ar-OMe_NEt4OH_C2H4Cl2
738,3,10,5,Ar-Me2OMe_NEt4OH_C2H4Cl2
739,4,10,5,Ar-Me3_NEt4OH_C2H4Cl2
740,5,10,5,Ar-Me2_NEt4OH_C2H4Cl2
741,6,10,5,Ar-F_NEt4OH_C2H4Cl2
742,7,10,5,Ar-CF3_NEt4OH_C2H4Cl2
743,8,10,5,Ar-CF32_NEt4OH_C2H4Cl2
744,9,10,5,Ar-F5_NEt4OH_C2H4Cl2
745,10,10,5,Ar-Cl_NEt4OH_C2H4Cl2
746,11,10,5,Ak-Cy_NEt4OH_C2H4Cl2
747,12,10,5,Ak-tBu_NEt4OH_C2H4Cl2
748,13,10,5,Ak-nBu_NEt4OH_C2H4Cl2
749,14,10,5,Ak-Me_NEt4OH_C2H4Cl2
750,15,10,5,Ak-Et_NEt4OH_C2H4Cl2
751,1,1,6,Ar-H_Na2CO3_PhCF3
752,2,1,6,Ar-OMe_Na2CO3_PhCF3
753,3,1,6,Ar-Me2OMe_Na2CO3_PhCF3
754,4,1,6,Ar-Me3_Na2CO3_PhCF3
755,5,1,6,Ar-Me2_Na2CO3_PhCF3
756,6,1,6,Ar-F_Na2CO3_PhCF3
757,7,1,6,Ar-CF3_Na2CO3_PhCF3
758,8,1,6,Ar-CF32_Na2CO3_PhCF3
759,9,1,6,Ar-F5_Na2CO3_PhCF3
760,10,1,6,Ar-Cl_Na2CO3_PhCF3
761,11,1,6,Ak-Cy_Na2CO3_PhCF3
762,12,1,6,Ak-tBu_Na2CO3_PhCF3
763,13,1,6,Ak-nBu_Na2CO3_PhCF3
764,14,1,6,Ak-Me_Na2CO3_PhCF3
765,15,1,6,Ak-Et_Na2CO3_PhCF3
766,1,2,6,Ar-H_NaHCO3_PhCF3
767,2,2,6,Ar-OMe_NaHCO3_PhCF3
768,3,2,6,Ar-Me2OMe_NaHCO3_PhCF3
769,4,2,6,Ar-Me3_NaHCO3_PhCF3
770,5,2,6,Ar-Me2_NaHCO3_PhCF3
771,6,2,6,Ar-F_NaHCO3_PhCF3
772,7,2,6,Ar-CF3_NaHCO3_PhCF3
773,8,2,6,Ar-CF32_NaHCO3_PhCF3
774,9,2,6,Ar-F5_NaHCO3_PhCF3
775,10,2,6,Ar-Cl_NaHCO3_PhCF3
776,11,2,6,Ak-Cy_NaHCO3_PhCF3
777,12,2,6,Ak-tBu_NaHCO3_PhCF3
778,13,2,6,Ak-nBu_NaHCO3_PhCF3
779,14,2,6,Ak-Me_NaHCO3_PhCF3
780,15,2,6,Ak-Et_NaHCO3_PhCF3
781,1,3,6,Ar-H_NaOH_PhCF3
782,2,3,6,Ar-OMe_NaOH_PhCF3
783,3,3,6,Ar-Me2OMe_NaOH_PhCF3
784,4,3,6,Ar-Me3_NaOH_PhCF3
785,5,3,6,Ar-Me2_NaOH_PhCF3
786,6,3,6,Ar-F_NaOH_PhCF3
787,7,3,6,Ar-CF3_NaOH_PhCF3
788,8,3,6,Ar-CF32_NaOH_PhCF3
789,9,3,6,Ar-F5_NaOH_PhCF3
790,10,3,6,Ar-Cl_NaOH_PhCF3
791,11,3,6,Ak-Cy_NaOH_PhCF3
792,12,3,6,Ak-tBu_NaOH_PhCF3
793,13,3,6,Ak-nBu_NaOH_PhCF3
794,14,3,6,Ak-Me_NaOH_PhCF3
795,15,3,6,Ak-Et_NaOH_PhCF3
796,1,4,6,Ar-H_K2CO3_PhCF3
797,2,4,6,Ar-OMe_K2CO3_PhCF3
798,3,4,6,Ar-Me2OMe_K2CO3_PhCF3
799,4,4,6,Ar-Me3_K2CO3_PhCF3
800,5,4,6,Ar-Me2_K2CO3_PhCF3
801,6,4,6,Ar-F_K2CO3_PhCF3
802,7,4,6,Ar-CF3_K2CO3_PhCF3
803,8,4,6,Ar-CF32_K2CO3_PhCF3
804,9,4,6,Ar-F5_K2CO3_PhCF3
805,10,4,6,Ar-Cl_K2CO3_PhCF3
806,11,4,6,Ak-Cy_K2CO3_PhCF3
807,12,4,6,Ak-tBu_K2CO3_PhCF3
808,13,4,6,Ak-nBu_K2CO3_PhCF3
809,14,4,6,Ak-Me_K2CO3_PhCF3
810,15,4,6,Ak-Et_K2CO3_PhCF3
811,1,5,6,Ar-H_KOH_PhCF3
812,2,5,6,Ar-OMe_KOH_PhCF3
813,3,5,6,Ar-Me2OMe_KOH_PhCF3
814,4,5,6,Ar-Me3_KOH_PhCF3
815,5,5,6,Ar-Me2_KOH_PhCF3
816,6,5,6,Ar-F_KOH_PhCF3
817,7,5,6,Ar-CF3_KOH_PhCF3
818,8,5,6,Ar-CF32_KOH_PhCF3
819,9,5,6,Ar-F5_KOH_PhCF3
820,10,5,6,Ar-Cl_KOH_PhCF3
821,11,5,6,Ak-Cy_KOH_PhCF3
822,12,5,6,Ak-tBu_KOH_PhCF3
823,13,5,6,Ak-nBu_KOH_PhCF3
824,14,5,6,Ak-Me_KOH_PhCF3
825,15,5,6,Ak-Et_KOH_PhCF3
826,1,6,6,Ar-H_K3PO4_PhCF3
827,2,6,6,Ar-OMe_K3PO4_PhCF3
828,3,6,6,Ar-Me2OMe_K3PO4_PhCF3
829,4,6,6,Ar-Me3_K3PO4_PhCF3
830,5,6,6,Ar-Me2_K3PO4_PhCF3
831,6,6,6,Ar-F_K3PO4_PhCF3
832,7,6,6,Ar-CF3_K3PO4_PhCF3
833,8,6,6,Ar-CF32_K3PO4_PhCF3
834,9,6,6,Ar-F5_K3PO4_PhCF3
835,10,6,6,Ar-Cl_K3PO4_PhCF3
836,11,6,6,Ak-Cy_K3PO4_PhCF3
837,12,6,6,Ak-tBu_K3PO4_PhCF3
838,13,6,6,Ak-nBu_K3PO4_PhCF3
839,14,6,6,Ak-Me_K3PO4_PhCF3
840,15,6,6,Ak-Et_K3PO4_PhCF3
841,1,7,6,Ar-H_KOAc_PhCF3
842,2,7,6,Ar-OMe_KOAc_PhCF3
843,3,7,6,Ar-Me2OMe_KOAc_PhCF3
844,4,7,6,Ar-Me3_KOAc_PhCF3
845,5,7,6,Ar-Me2_KOAc_PhCF3
846,6,7,6,Ar-F_KOAc_PhCF3
847,7,7,6,Ar-CF3_KOAc_PhCF3
848,8,7,6,Ar-CF32_KOAc_PhCF3
849,9,7,6,Ar-F5_KOAc_PhCF3
850,10,7,6,Ar-Cl_KOAc_PhCF3
851,11,7,6,Ak-Cy_KOAc_PhCF3
852,12,7,6,Ak-tBu_KOAc_PhCF3
853,13,7,6,Ak-nBu_KOAc_PhCF3
854,14,7,6,Ak-Me_KOAc_PhCF3
855,15,7,6,Ak-Et_KOAc_PhCF3
856,1,8,6,Ar-H_Cs2CO3_PhCF3
857,2,8,6,Ar-OMe_Cs2CO3_PhCF3
858,3,8,6,Ar-Me2OMe_Cs2CO3_PhCF3
859,4,8,6,Ar-Me3_Cs2CO3_PhCF3
860,5,8,6,Ar-Me2_Cs2CO3_PhCF3
861,6,8,6,Ar-F_Cs2CO3_PhCF3
862,7,8,6,Ar-CF3_Cs2CO3_PhCF3
863,8,8,6,Ar-CF32_Cs2CO3_PhCF3
864,9,8,6,Ar-F5_Cs2CO3_PhCF3
865,10,8,6,Ar-Cl_Cs2CO3_PhCF3
866,11,8,6,Ak-Cy_Cs2CO3_PhCF3
867,12,8,6,Ak-tBu_Cs2CO3_PhCF3
868,13,8,6,Ak-nBu_Cs2CO3_PhCF3
869,14,8,6,Ak-Me_Cs2CO3_PhCF3
870,15,8,6,Ak-Et_Cs2CO3_PhCF3
871,1,9,6,Ar-H_CsF_PhCF3
872,2,9,6,Ar-OMe_CsF_PhCF3
873,3,9,6,Ar-Me2OMe_CsF_PhCF3
874,4,9,6,Ar-Me3_CsF_PhCF3
875,5,9,6,Ar-Me2_CsF_PhCF3
876,6,9,6,Ar-F_CsF_PhCF3
877,7,9,6,Ar-CF3_CsF_PhCF3
878,8,9,6,Ar-CF32_CsF_PhCF3
879,9,9,6,Ar-F5_CsF_PhCF3
880,10,9,6,Ar-Cl_CsF_PhCF3
881,11,9,6,Ak-Cy_CsF_PhCF3
882,12,9,6,Ak-tBu_CsF_PhCF3
883,13,9,6,Ak-nBu_CsF_PhCF3
884,14,9,6,Ak-Me_CsF_PhCF3
885,15,9,6,Ak-Et_CsF_PhCF3
886,1,10,6,Ar-H_NEt4OH_PhCF3
887,2,10,6,Ar-OMe_NEt4OH_PhCF3
888,3,10,6,Ar-Me2OMe_NEt4OH_PhCF3
889,4,10,6,Ar-Me3_NEt4OH_PhCF3
890,5,10,6,Ar-Me2_NEt4OH_PhCF3
891,6,10,6,Ar-F_NEt4OH_PhCF3
892,7,10,6,Ar-CF3_NEt4OH_PhCF3
893,8,10,6,Ar-CF32_NEt4OH_PhCF3
894,9,10,6,Ar-F5_NEt4OH_PhCF3
895,10,10,6,Ar-Cl_NEt4OH_PhCF3
896,11,10,6,Ak-Cy_NEt4OH_PhCF3
897,12,10,6,Ak-tBu_NEt4OH_PhCF3
898,13,10,6,Ak-nBu_NEt4OH_PhCF3
899,14,10,6,Ak-Me_NEt4OH_PhCF3
900,15,10,6,Ak-Et_NEt4OH_PhCF3
901,1,1,7,Ar-H_Na2CO3_BuOAc
902,2,1,7,Ar-OMe_Na2CO3_BuOAc
903,3,1,7,Ar-Me2OMe_Na2CO3_BuOAc
904,4,1,7,Ar-Me3_Na2CO3_BuOAc
905,5,1,7,Ar-Me2_Na2CO3_BuOAc
906,6,1,7,Ar-F_Na2CO3_BuOAc
907,7,1,7,Ar-CF3_Na2CO3_BuOAc
908,8,1,7,Ar-CF32_Na2CO3_BuOAc
909,9,1,7,Ar-F5_Na2CO3_BuOAc
910,10,1,7,Ar-Cl_Na2CO3_BuOAc
911,11,1,7,Ak-Cy_Na2CO3_BuOAc
912,12,1,7,Ak-tBu_Na2CO3_BuOAc
913,13,1,7,Ak-nBu_Na2CO3_BuOAc
914,14,1,7,Ak-Me_Na2CO3_BuOAc
915,15,1,7,Ak-Et_Na2CO3_BuOAc
916,1,2,7,Ar-H_NaHCO3_BuOAc
917,2,2,7,Ar-OMe_NaHCO3_BuOAc
918,3,2,7,Ar-Me2OMe_NaHCO3_BuOAc
919,4,2,7,Ar-Me3_NaHCO3_BuOAc
920,5,2,7,Ar-Me2_NaHCO3_BuOAc
921,6,2,7,Ar-F_NaHCO3_BuOAc
922,7,2,7,Ar-CF3_NaHCO3_BuOAc
923,8,2,7,Ar-CF32_NaHCO3_BuOAc
924,9,2,7,Ar-F5_NaHCO3_BuOAc
925,10,2,7,Ar-Cl_NaHCO3_BuOAc
926,11,2,7,Ak-Cy_NaHCO3_BuOAc
927,12,2,7,Ak-tBu_NaHCO3_BuOAc
928,13,2,7,Ak-nBu_NaHCO3_BuOAc
929,14,2,7,Ak-Me_NaHCO3_BuOAc
930,15,2,7,Ak-Et_NaHCO3_BuOAc
931,1,3,7,Ar-H_NaOH_BuOAc
932,2,3,7,Ar-OMe_NaOH_BuOAc
933,3,3,7,Ar-Me2OMe_NaOH_BuOAc
934,4,3,7,Ar-Me3_NaOH_BuOAc
935,5,3,7,Ar-Me2_NaOH_BuOAc
936,6,3,7,Ar-F_NaOH_BuOAc
937,7,3,7,Ar-CF3_NaOH_BuOAc
938,8,3,7,Ar-CF32_NaOH_BuOAc
939,9,3,7,Ar-F5_NaOH_BuOAc
940,10,3,7,Ar-Cl_NaOH_BuOAc
941,11,3,7,Ak-Cy_NaOH_BuOAc
942,12,3,7,Ak-tBu_NaOH_BuOAc
943,13,3,7,Ak-nBu_NaOH_BuOAc
944,14,3,7,Ak-Me_NaOH_BuOAc
945,15,3,7,Ak-Et_NaOH_BuOAc
946,1,4,7,Ar-H_K2CO3_BuOAc
947,2,4,7,Ar-OMe_K2CO3_BuOAc
948,3,4,7,Ar-Me2OMe_K2CO3_BuOAc
949,4,4,7,Ar-Me3_K2CO3_BuOAc
950,5,4,7,Ar-Me2_K2CO3_BuOAc
951,6,4,7,Ar-F_K2CO3_BuOAc
952,7,4,7,Ar-CF3_K2CO3_BuOAc
953,8,4,7,Ar-CF32_K2CO3_BuOAc
954,9,4,7,Ar-F5_K2CO3_BuOAc
955,10,4,7,Ar-Cl_K2CO3_BuOAc
956,11,4,7,Ak-Cy_K2CO3_BuOAc
957,12,4,7,Ak-tBu_K2CO3_BuOAc
958,13,4,7,Ak-nBu_K2CO3_BuOAc
959,14,4,7,Ak-Me_K2CO3_BuOAc
960,15,4,7,Ak-Et_K2CO3_BuOAc
961,1,5,7,Ar-H_KOH_BuOAc
962,2,5,7,Ar-OMe_KOH_BuOAc
963,3,5,7,Ar-Me2OMe_KOH_BuOAc
964,4,5,7,Ar-Me3_KOH_BuOAc
965,5,5,7,Ar-Me2_KOH_BuOAc
966,6,5,7,Ar-F_KOH_BuOAc
967,7,5,7,Ar-CF3_KOH_BuOAc
968,8,5,7,Ar-CF32_KOH_BuOAc
969,9,5,7,Ar-F5_KOH_BuOAc
970,10,5,7,Ar-Cl_KOH_BuOAc
971,11,5,7,Ak-Cy_KOH_BuOAc
972,12,5,7,Ak-tBu_KOH_BuOAc
973,13,5,7,Ak-nBu_KOH_BuOAc
974,14,5,7,Ak-Me_KOH_BuOAc
975,15,5,7,Ak-Et_KOH_BuOAc
976,1,6,7,Ar-H_K3PO4_BuOAc
977,2,6,7,Ar-OMe_K3PO4_BuOAc
978,3,6,7,Ar-Me2OMe_K3PO4_BuOAc
979,4,6,7,Ar-Me3_K3PO4_BuOAc
980,5,6,7,Ar-Me2_K3PO4_BuOAc
981,6,6,7,Ar-F_K3PO4_BuOAc
982,7,6,7,Ar-CF3_K3PO4_BuOAc
983,8,6,7,Ar-CF32_K3PO4_BuOAc
984,9,6,7,Ar-F5_K3PO4_BuOAc
985,10,6,7,Ar-Cl_K3PO4_BuOAc
986,11,6,7,Ak-Cy_K3PO4_BuOAc
987,12,6,7,Ak-tBu_K3PO4_BuOAc
988,13,6,7,Ak-nBu_K3PO4_BuOAc
989,14,6,7,Ak-Me_K3PO4_BuOAc
990,15,6,7,Ak-Et_K3PO4_BuOAc
991,1,7,7,Ar-H_KOAc_BuOAc
992,2,7,7,Ar-OMe_KOAc_BuOAc
993,3,7,7,Ar-Me2OMe_KOAc_BuOAc
994,4,7,7,Ar-Me3_KOAc_BuOAc
995,5,7,7,Ar-Me2_KOAc_BuOAc
996,6,7,7,Ar-F_KOAc_BuOAc
997,7,7,7,Ar-CF3_KOAc_BuOAc
998,8,7,7,Ar-CF32_KOAc_BuOAc
999,9,7,7,Ar-F5_KOAc_BuOAc
1000,10,7,7,Ar-Cl_KOAc_BuOAc
1001,11,7,7,Ak-Cy_KOAc_BuOAc
1002,12,7,7,Ak-tBu_KOAc_BuOAc
1003,13,7,7,Ak-nBu_KOAc_BuOAc
1004,14,7,7,Ak-Me_KOAc_BuOAc
1005,15,7,7,Ak-Et_KOAc_BuOAc
1006,1,8,7,Ar-H_Cs2CO3_BuOAc
1007,2,8,7,Ar-OMe_Cs2CO3_BuOAc
1008,3,8,7,Ar-Me2OMe_Cs2CO3_BuOAc
1009,4,8,7,Ar-Me3_Cs2CO3_BuOAc
1010,5,8,7,Ar-Me2_Cs2CO3_BuOAc
1011,6,8,7,Ar-F_Cs2CO3_BuOAc
1012,7,8,7,Ar-CF3_Cs2CO3_BuOAc
1013,8,8,7,Ar-CF32_Cs2CO3_BuOAc
1014,9,8,7,Ar-F5_Cs2CO3_BuOAc
