,objs-1,objs-2,objs-3,objs-4,objs-5,objs-6,objs-7,objs-8,objs-9,objs-10,objs-11,objs-12,objs-13,objs-14,objs-15,objs-16,objs-17,objs-18,objs-19,objs-20,objs-21,objs-22,objs-23,objs-24,objs-25,objs-26,objs-27,objs-28,objs-29,objs-30,actn-1,actn-2,actn-3,actn-4,actn-5,actn-6,actn-7,actn-8,actn-9,actn-10,actn-11,actn-12,actn-13,actn-14,actn-15,actn-16,actn-17,actn-18,actn-19,actn-20,actn-21,actn-22,actn-23,actn-24,actn-25,actn-26,actn-27,actn-28,actn-29,actn-30,best-objs-1,best-objs-2,best-objs-3,best-objs-4,best-objs-5,best-objs-6,best-objs-7,best-objs-8,best-objs-9,best-objs-10,best-objs-11,best-objs-12,best-objs-13,best-objs-14,best-objs-15,best-objs-16,best-objs-17,best-objs-18,best-objs-19,best-objs-20,best-objs-21,best-objs-22,best-objs-23,best-objs-24,best-objs-25,best-objs-26,best-objs-27,best-objs-28,best-objs-29,best-objs-30,best-acts-1,best-acts-2,best-acts-3,best-acts-4,best-acts-5,best-acts-6,best-acts-7,best-acts-8,best-acts-9,best-acts-10,best-acts-11,best-acts-12,best-acts-13,best-acts-14,best-acts-15,best-acts-16,best-acts-17,best-acts-18,best-acts-19,best-acts-20,best-acts-21,best-acts-22,best-acts-23,best-acts-24,best-acts-25,best-acts-26,best-acts-27,best-acts-28,best-acts-29,best-acts-30
0,-1.726567257,-2.685571282,-3.452429316,-3.408025199,-2.526125894,-4.089999079,-2.359948494,-2.724778868,-2.93334756,-2.020973782,-3.919886931,-2.763333919,-2.852517706,-2.111448645,-3.216079525,-2.3012431,-2.7407068,-6.376416183,-3.621409846,-3.435310549,-3.154588477,-4.264387083,-2.032532425,-1.454852697,-1.22923196,-2.949145273,-2.900637101,-4.855882376,-2.843558326,-3.261995081,471,91,719,851,897,656,24,547,1237,257,633,1122,1160,5,1288,906,123,1367,1482,953,916,898,122,444,561,1495,841,746,780,281,-1.726567257,-2.685571282,-3.452429316,-3.408025199,-2.526125894,-4.089999079,-2.359948494,-2.724778868,-2.93334756,-2.020973782,-3.919886931,-2.763333919,-2.852517706,-2.111448645,-3.216079525,-2.3012431,-2.7407068,-6.376416183,-3.621409846,-3.435310549,-3.154588477,-4.264387083,-2.032532425,-1.454852697,-1.22923196,-2.949145273,-2.900637101,-4.855882376,-2.843558326,-3.261995081,471,91,719,851,897,656,24,547,1237,257,633,1122,1160,5,1288,906,123,1367,1482,953,916,898,122,444,561,1495,841,746,780,281
1,-2.277669551,-2.166666828,-3.451422433,-3.382414551,-3.244045952,-2.580250803,-4.138612268,-2.214383989,-1.167525906,-2.842459146,-4.345793223,-1.622663376,-2.461065703,-3.488294796,-4.470787134,-4.470787134,-2.547119373,-2.460220484,-2.772386532,-1.84968798,-2.176781929,-3.209907129,-2.014074416,-1.088269678,-2.418348368,-3.08528241,-3.979570249,-3.634311461,-2.833695005,-1.787220046,9,75,1436,816,577,931,1348,984,437,757,56,576,667,754,793,793,1149,654,522,121,312,528,456,454,905,657,48,727,814,868,-1.726567257,-2.166666828,-3.451422433,-3.382414551,-2.526125894,-2.580250803,-2.359948494,-2.214383989,-1.167525906,-2.020973782,-3.919886931,-1.622663376,-2.461065703,-2.111448645,-3.216079525,-2.3012431,-2.547119373,-2.460220484,-2.772386532,-1.84968798,-2.176781929,-3.209907129,-2.014074416,-1.088269678,-1.22923196,-2.949145273,-2.900637101,-3.634311461,-2.833695005,-1.787220046,471,75,1436,816,897,931,24,984,437,257,633,576,667,5,1288,906,1149,654,522,121,312,528,456,454,561,1495,841,727,814,868
2,-3.496322764,-3.541731871,-2.672013448,-3.432934087,-2.960033756,-4.781035984,-2.813012835,-1.786808188,-1.187246356,-2.352872931,-3.4402566,-2.839076191,-3.110095985,-2.934571294,-1.292139175,-2.87314274,-4.209507322,-2.44129111,-2.111822285,-3.229194035,-2.685182584,-0.841742081,-0.841742081,-1.523758158,-3.308759458,-3.655895389,-3.188446737,-4.350880813,-4.384478214,-1.883911961,862,1113,196,1456,112,1393,1444,319,511,996,1410,7,852,1238,503,1156,1085,1252,19,1373,143,465,465,473,810,1020,1415,1378,764,591,-1.726567257,-2.166666828,-2.672013448,-3.382414551,-2.526125894,-2.580250803,-2.359948494,-1.786808188,-1.167525906,-2.020973782,-3.4402566,-1.622663376,-2.461065703,-2.111448645,-1.292139175,-2.3012431,-2.547119373,-2.44129111,-2.111822285,-1.84968798,-2.176781929,-0.841742081,-0.841742081,-1.088269678,-1.22923196,-2.949145273,-2.900637101,-3.634311461,-2.833695005,-1.787220046,471,75,196,816,897,931,24,319,437,257,1410,576,667,5,503,906,1149,1252,19,121,312,465,465,454,561,1495,841,727,814,868
3,-2.743145449,-2.530040267,-2.577208912,-2.68515856,-2.596470868,-2.07382286,-1.837470279,-2.10358804,-3.475850126,-4.175397157,-2.946238406,-2.422426952,-3.408025199,-3.348976438,-3.640967299,-4.413724437,-5.453469077,-3.131924496,-1.187246356,-2.543438111,-5.185978055,-2.896546821,-3.408830233,-1.787220046,-2.544751815,-3.844890328,-3.66670555,-3.670375438,-3.588685285,-3.956250325,1023,286,188,21,294,68,1245,634,402,1133,886,696,851,958,1003,928,611,513,511,134,1374,1426,1455,868,985,363,1019,614,295,1203,-1.726567257,-2.166666828,-2.577208912,-2.68515856,-2.526125894,-2.07382286,-1.837470279,-1.786808188,-1.167525906,-2.020973782,-2.946238406,-1.622663376,-2.461065703,-2.111448645,-1.292139175,-2.3012431,-2.547119373,-2.44129111,-1.187246356,-1.84968798,-2.176781929,-0.841742081,-0.841742081,-1.088269678,-1.22923196,-2.949145273,-2.900637101,-3.634311461,-2.833695005,-1.787220046,471,75,188,21,897,68,1245,319,437,257,886,576,667,5,503,906,1149,1252,511,121,312,465,465,454,561,1495,841,727,814,868
4,-2.546571938,-0.983763689,-3.619463611,-1.85763746,-2.461065703,-4.269219942,-3.648331339,-3.167590906,-5.473384191,-2.327331852,-1.617024169,-3.382358037,-0.817413318,-4.104138686,-3.657507088,-2.176960712,-2.896546821,-4.027623555,-2.435156688,-4.055116105,-1.743534192,-1.360430417,-2.530040267,-4.021532084,-4.13914027,-4.300474486,-4.175397157,-2.135673085,-1.936246539,-4.33895366,939,563,1175,1341,667,1031,1162,266,1064,238,1262,1499,405,130,1170,275,1426,1098,942,311,289,1234,286,153,41,1443,1133,961,1291,748,-1.726567257,-0.983763689,-2.577208912,-1.85763746,-2.461065703,-2.07382286,-1.837470279,-1.786808188,-1.167525906,-2.020973782,-1.617024169,-1.622663376,-0.817413318,-2.111448645,-1.292139175,-2.176960712,-2.547119373,-2.44129111,-1.187246356,-1.84968798,-1.743534192,-0.841742081,-0.841742081,-1.088269678,-1.22923196,-2.949145273,-2.900637101,-2.135673085,-1.936246539,-1.787220046,471,563,188,1341,667,68,1245,319,437,257,1262,576,405,5,503,275,1149,1252,511,121,289,465,465,454,561,1495,841,961,1291,868
5,-1.837470279,-2.046347906,-2.296886136,-1.962460512,-4.101508923,-1.684741042,-4.860636663,-3.033618527,-2.626861968,-3.951635983,-3.771937253,-2.281239514,-2.097645677,-3.869028438,-1.792284032,-2.904395947,-2.323575095,-2.170121994,-2.76600837,-1.394284432,-3.039156457,-3.449717093,-2.184154944,-5.425945389,-2.753578723,-3.497251992,-3.706490344,-4.07794124,-2.091337993,-3.706490344,1245,313,58,210,1433,1276,943,894,538,1017,1080,969,1294,1012,1311,775,351,411,710,593,1087,72,327,1370,364,983,464,663,995,464,-1.726567257,-0.983763689,-2.296886136,-1.85763746,-2.461065703,-1.684741042,-1.837470279,-1.786808188,-1.167525906,-2.020973782,-1.617024169,-1.622663376,-0.817413318,-2.111448645,-1.292139175,-2.176960712,-2.323575095,-2.170121994,-1.187246356,-1.394284432,-1.743534192,-0.841742081,-0.841742081,-1.088269678,-1.22923196,-2.949145273,-2.900637101,-2.135673085,-1.936246539,-1.787220046,471,563,58,1341,667,1276,1245,319,437,257,1262,576,405,5,503,275,351,411,511,593,289,465,465,454,561,1495,841,961,1291,868
6,-3.896984679,-2.741057018,-4.137481208,-2.46151054,-1.1206044,-2.030039708,-1.947962141,-4.241319374,-4.091995233,-2.383915279,-2.743145449,-2.359438364,-2.16241674,-2.490049288,-2.619119872,-2.422481024,-2.202169906,-2.87314274,-2.848999539,-1.741848303,-1.652462762,-2.738776571,-2.558454306,-3.709638998,-1.360430417,-3.657507088,-3.951789131,-2.558454306,-3.200147925,-3.586244845,448,835,583,604,300,45,30,251,1007,992,1023,274,945,951,368,1282,230,1156,1119,545,1277,1458,67,303,1234,1170,1024,67,826,877,-1.726567257,-0.983763689,-2.296886136,-1.85763746,-1.1206044,-1.684741042,-1.837470279,-1.786808188,-1.167525906,-2.020973782,-1.617024169,-1.622663376,-0.817413318,-2.111448645,-1.292139175,-2.176960712,-2.202169906,-2.170121994,-1.187246356,-1.394284432,-1.652462762,-0.841742081,-0.841742081,-1.088269678,-1.22923196,-2.949145273,-2.900637101,-2.135673085,-1.936246539,-1.787220046,471,563,58,1341,300,1276,1245,319,437,257,1262,576,405,5,503,275,230,411,511,593,1277,465,465,454,561,1495,841,961,1291,868
7,-3.937331348,-2.618437703,-3.10138966,-2.67835732,-4.323377456,-2.828728089,-3.62788668,-2.328123267,-2.047727013,-2.549071369,-3.038125159,-2.73396282,-2.741215735,-2.805691804,-4.255653867,-2.954290501,-1.746519561,-3.202824198,-2.602178004,-1.437247302,-3.469260978,-3.743082542,-2.424378151,-4.077402313,-1.392533274,-6.430851774,-2.740149933,-2.62890437,-3.674122731,-2.767377611,1461,1447,552,1120,461,844,782,915,990,381,1440,1047,625,681,243,937,2,1075,670,1344,543,1053,264,1174,425,1364,1158,989,1106,1185,-1.726567257,-0.983763689,-2.296886136,-1.85763746,-1.1206044,-1.684741042,-1.837470279,-1.786808188,-1.167525906,-2.020973782,-1.617024169,-1.622663376,-0.817413318,-2.111448645,-1.292139175,-2.176960712,-1.746519561,-2.170121994,-1.187246356,-1.394284432,-1.652462762,-0.841742081,-0.841742081,-1.088269678,-1.22923196,-2.949145273,-2.740149933,-2.135673085,-1.936246539,-1.787220046,471,563,58,1341,300,1276,1245,319,437,257,1262,576,405,5,503,275,2,411,511,593,1277,465,465,454,561,1495,1158,961,1291,868
8,-2.41810689,-2.961094455,-3.730346883,-2.229734578,-2.507286675,-2.176960712,-2.392939783,-2.720452844,-3.951789131,-2.657395012,-2.922918724,-2.844166856,-2.613738903,-2.720452844,-3.143945045,-2.750403472,-4.120575841,-2.595696902,-3.429238763,-4.252343172,-2.741860035,-3.312982972,-3.674122731,-2.352872931,-1.956495686,-1.731871048,-3.258595475,-4.510040397,-2.777985809,-3.423499591,1267,1006,1317,20,1219,275,649,1397,1024,959,46,1190,621,1397,131,588,879,502,207,1371,423,755,1106,996,964,1,376,161,1035,1480,-1.726567257,-0.983763689,-2.296886136,-1.85763746,-1.1206044,-1.684741042,-1.837470279,-1.786808188,-1.167525906,-2.020973782,-1.617024169,-1.622663376,-0.817413318,-2.111448645,-1.292139175,-2.176960712,-1.746519561,-2.170121994,-1.187246356,-1.394284432,-1.652462762,-0.841742081,-0.841742081,-1.088269678,-1.22923196,-1.731871048,-2.740149933,-2.135673085,-1.936246539,-1.787220046,471,563,58,1341,300,1276,1245,319,437,257,1262,576,405,5,503,275,2,411,511,593,1277,465,465,454,561,1,1158,961,1291,868
9,-3.060408291,-3.764533605,-2.632220347,-2.93334756,-3.709517278,-1.997087323,-3.091799407,-2.251767164,-2.946451429,-4.137481208,-1.407986066,-3.043232363,-3.436498003,-4.027628851,-4.733663896,-3.067897573,-2.914396274,-6.884149681,-3.430255682,-3.548115709,-2.373921283,-3.092814837,-2.794540844,-2.613738903,-1.330523155,-3.951635983,-2.820921453,-2.470260755,-1.068085931,-2.2902191,1357,468,655,1237,441,979,362,234,76,583,1337,432,252,298,876,704,871,1351,1465,1353,1266,1430,1441,621,514,1017,1152,13,1335,229,-1.726567257,-0.983763689,-2.296886136,-1.85763746,-1.1206044,-1.684741042,-1.837470279,-1.786808188,-1.167525906,-2.020973782,-1.407986066,-1.622663376,-0.817413318,-2.111448645,-1.292139175,-2.176960712,-1.746519561,-2.170121994,-1.187246356,-1.394284432,-1.652462762,-0.841742081,-0.841742081,-1.088269678,-1.22923196,-1.731871048,-2.740149933,-2.135673085,-1.068085931,-1.787220046,471,563,58,1341,300,1276,1245,319,437,257,1337,576,405,5,503,275,2,411,511,593,1277,465,465,454,561,1,1158,961,1335,868
