expID,ligand,base,solvent,cone angle,TEP,calc P shift,pKa,Pauling ionic radii,Hansen-dD,Hansen-dP,Hansen-dH,objectives
72,12,5,1,185.3,2206.2,66.1445,13.997,133,18.4,16.4,10.2,
73,13,5,1,171.3953578,2213.980043,-29.2681,13.997,133,18.4,16.4,10.2,
74,14,5,1,120.02,2219.32,-63.3,13.997,133,18.4,16.4,10.2,
75,15,5,1,165.353392,2215.967354,-19.1672,13.997,133,18.4,16.4,10.2,
76,1,6,1,165.87,2223.37,-5.7906,12.375,133,18.4,16.4,10.2,
77,2,6,1,166.8903697,2218.319819,-10.6026,12.375,133,18.4,16.4,10.2,
78,3,6,1,172.5642436,2217.825997,-8.6556,12.375,133,18.4,16.4,10.2,
79,4,6,1,211.3485433,2210.78491,-35.7969,12.375,133,18.4,16.4,10.2,
80,5,6,1,174.6629756,2218.794147,-5.7884,12.375,133,18.4,16.4,10.2,
81,6,6,1,166.26,2224.63,-9.8472,12.375,133,18.4,16.4,10.2,
82,7,6,1,165.4550225,2228.284751,-7.6658,12.375,133,18.4,16.4,10.2,
83,8,6,1,184.5942422,2234.942905,-10.0173,12.375,133,18.4,16.4,10.2,
84,9,6,1,172.55,2232.06,-76.7384,12.375,133,18.4,16.4,10.2,
85,10,6,1,165.5,2225.59,-10.3996,12.375,133,18.4,16.4,10.2,
86,11,6,1,174.3600174,2210.257593,8.0093,12.375,133,18.4,16.4,10.2,
87,12,6,1,185.3,2206.2,66.1445,12.375,133,18.4,16.4,10.2,
88,13,6,1,171.3953578,2213.980043,-29.2681,12.375,133,18.4,16.4,10.2,
89,14,6,1,120.02,2219.32,-63.3,12.375,133,18.4,16.4,10.2,
90,15,6,1,165.353392,2215.967354,-19.1672,12.375,133,18.4,16.4,10.2,
91,1,7,1,165.87,2223.37,-5.7906,4.756,133,18.4,16.4,10.2,
92,2,7,1,166.8903697,2218.319819,-10.6026,4.756,133,18.4,16.4,10.2,
93,3,7,1,172.5642436,2217.825997,-8.6556,4.756,133,18.4,16.4,10.2,
94,4,7,1,211.3485433,2210.78491,-35.7969,4.756,133,18.4,16.4,10.2,
95,5,7,1,174.6629756,2218.794147,-5.7884,4.756,133,18.4,16.4,10.2,
96,6,7,1,166.26,2224.63,-9.8472,4.756,133,18.4,16.4,10.2,
97,7,7,1,165.4550225,2228.284751,-7.6658,4.756,133,18.4,16.4,10.2,
98,8,7,1,184.5942422,2234.942905,-10.0173,4.756,133,18.4,16.4,10.2,
99,9,7,1,172.55,2232.06,-76.7384,4.756,133,18.4,16.4,10.2,
100,10,7,1,165.5,2225.59,-10.3996,4.756,133,18.4,16.4,10.2,
101,11,7,1,174.3600174,2210.257593,8.0093,4.756,133,18.4,16.4,10.2,
102,12,7,1,185.3,2206.2,66.1445,4.756,133,18.4,16.4,10.2,
103,13,7,1,171.3953578,2213.980043,-29.2681,4.756,133,18.4,16.4,10.2,
104,14,7,1,120.02,2219.32,-63.3,4.756,133,18.4,16.4,10.2,
105,15,7,1,165.353392,2215.967354,-19.1672,4.756,133,18.4,16.4,10.2,
106,1,8,1,165.87,2223.37,-5.7906,10.329,169,18.4,16.4,10.2,
107,2,8,1,166.8903697,2218.319819,-10.6026,10.329,169,18.4,16.4,10.2,
108,3,8,1,172.5642436,2217.825997,-8.6556,10.329,169,18.4,16.4,10.2,
109,4,8,1,211.3485433,2210.78491,-35.7969,10.329,169,18.4,16.4,10.2,
110,5,8,1,174.6629756,2218.794147,-5.7884,10.329,169,18.4,16.4,10.2,
111,6,8,1,166.26,2224.63,-9.8472,10.329,169,18.4,16.4,10.2,
112,7,8,1,165.4550225,2228.284751,-7.6658,10.329,169,18.4,16.4,10.2,
113,8,8,1,184.5942422,2234.942905,-10.0173,10.329,169,18.4,16.4,10.2,
114,9,8,1,172.55,2232.06,-76.7384,10.329,169,18.4,16.4,10.2,
115,10,8,1,165.5,2225.59,-10.3996,10.329,169,18.4,16.4,10.2,
116,11,8,1,174.3600174,2210.257593,8.0093,10.329,169,18.4,16.4,10.2,-4.040120601915581
117,12,8,1,185.3,2206.2,66.1445,10.329,169,18.4,16.4,10.2,
118,13,8,1,171.3953578,2213.980043,-29.2681,10.329,169,18.4,16.4,10.2,
119,14,8,1,120.02,2219.32,-63.3,10.329,169,18.4,16.4,10.2,
120,15,8,1,165.353392,2215.967354,-19.1672,10.329,169,18.4,16.4,10.2,
121,1,9,1,165.87,2223.37,-5.7906,3.17,169,18.4,16.4,10.2,
122,2,9,1,166.8903697,2218.319819,-10.6026,3.17,169,18.4,16.4,10.2,
123,3,9,1,172.5642436,2217.825997,-8.6556,3.17,169,18.4,16.4,10.2,-2.032532425049917
124,4,9,1,211.3485433,2210.78491,-35.7969,3.17,169,18.4,16.4,10.2,
