expID,cone angle,TEP,calc P shift,pKa,Pauling ionic radii,Hansen-dD,Hansen-dP,Hansen-dH
87,185.3,2206.2,65.5283,12.375,133,18.4,16.4,10.2
88,171.3953578,2213.980043,-31.8604,12.375,133,18.4,16.4,10.2
89,120.02,2219.32,-63.3,12.375,133,18.4,16.4,10.2
90,165.353392,2215.967354,-18.0838,12.375,133,18.4,16.4,10.2
91,165.87,2223.37,-5.9813,4.756,133,18.4,16.4,10.2
92,166.8903697,2218.319819,-11.5167,4.756,133,18.4,16.4,10.2
93,172.5234877,2217.505928,-9.583,4.756,133,18.4,16.4,10.2
94,195.29,2213.36,-34.9056,4.756,133,18.4,16.4,10.2
95,174.6629756,2218.794147,-5.9295,4.756,133,18.4,16.4,10.2
96,166.26,2224.63,-9.891,4.756,133,18.4,16.4,10.2
97,165.4425321,2228.123853,-7.3657,4.756,133,18.4,16.4,10.2
98,184.5942422,2234.942905,-7.6081,4.756,133,18.4,16.4,10.2
99,172.55,2232.06,-76.6378,4.756,133,18.4,16.4,10.2
100,165.5,2225.59,-9.3867,4.756,133,18.4,16.4,10.2
101,174.3600174,2210.257593,8.4693,4.756,133,18.4,16.4,10.2
102,185.3,2206.2,65.5283,4.756,133,18.4,16.4,10.2
103,171.3953578,2213.980043,-31.8604,4.756,133,18.4,16.4,10.2
104,120.02,2219.32,-63.3,4.756,133,18.4,16.4,10.2
105,165.353392,2215.967354,-18.0838,4.756,133,18.4,16.4,10.2
106,165.87,2223.37,-5.9813,10.329,169,18.4,16.4,10.2
107,166.8903697,2218.319819,-11.5167,10.329,169,18.4,16.4,10.2
108,172.5234877,2217.505928,-9.583,10.329,169,18.4,16.4,10.2
109,195.29,2213.36,-34.9056,10.329,169,18.4,16.4,10.2
110,174.6629756,2218.794147,-5.9295,10.329,169,18.4,16.4,10.2
111,166.26,2224.63,-9.891,10.329,169,18.4,16.4,10.2
112,165.4425321,2228.123853,-7.3657,10.329,169,18.4,16.4,10.2
113,184.5942422,2234.942905,-7.6081,10.329,169,18.4,16.4,10.2
114,172.55,2232.06,-76.6378,10.329,169,18.4,16.4,10.2
115,165.5,2225.59,-9.3867,10.329,169,18.4,16.4,10.2
116,174.3600174,2210.257593,8.4693,10.329,169,18.4,16.4,10.2
117,185.3,2206.2,65.5283,10.329,169,18.4,16.4,10.2
118,171.3953578,2213.980043,-31.8604,10.329,169,18.4,16.4,10.2
119,120.02,2219.32,-63.3,10.329,169,18.4,16.4,10.2
120,165.353392,2215.967354,-18.0838,10.329,169,18.4,16.4,10.2
121,165.87,2223.37,-5.9813,3.17,169,18.4,16.4,10.2
122,166.8903697,2218.319819,-11.5167,3.17,169,18.4,16.4,10.2
123,172.5234877,2217.505928,-9.583,3.17,169,18.4,16.4,10.2
124,195.29,2213.36,-34.9056,3.17,169,18.4,16.4,10.2
125,174.6629756,2218.794147,-5.9295,3.17,169,18.4,16.4,10.2
126,166.26,2224.63,-9.891,3.17,169,18.4,16.4,10.2
